Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
56472551,00000118,false,Rx,1,4,00,4F,00,12,00,00,00,00,
56472847,17F0000F,true,Rx,1,8,00,0F,00,00,00,00,00,00,
56482525,00000118,false,Rx,1,4,00,40,00,12,00,00,00,00,
56492559,00000118,false,Rx,1,4,00,41,00,12,00,00,00,00,
56502398,00000118,false,Rx,1,4,00,42,00,12,00,00,00,00,
56512553,00000118,false,Rx,1,4,00,43,00,12,00,00,00,00,
56522388,00000118,false,Rx,1,4,00,44,00,12,00,00,00,00,
56532539,00000118,false,Rx,1,4,00,45,00,12,00,00,00,00,
56542379,00000118,false,Rx,1,4,00,46,00,12,00,00,00,00,
56552513,00000118,false,Rx,1,4,00,47,00,12,00,00,00,00,
56562386,00000118,false,Rx,1,4,00,48,00,12,00,00,00,00,
56572504,00000118,false,Rx,1,4,00,49,00,12,00,00,00,00,
56582470,00000118,false,Rx,1,4,00,4A,00,12,00,00,00,00,
56592512,00000118,false,Rx,1,4,00,4B,00,12,00,00,00,00,
56602351,00000118,false,Rx,1,4,00,4C,00,12,00,00,00,00,
56612502,00000118,false,Rx,1,4,00,4D,00,12,00,00,00,00,
56622340,00000118,false,Rx,1,4,00,4E,00,12,00,00,00,00,
56632475,00000118,false,Rx,1,4,00,4F,00,12,00,00,00,00,
56642350,00000118,false,Rx,1,4,00,40,00,12,00,00,00,00,
163466,00000118,false,Rx,1,4,00,41,00,12,00,00,00,00,
173341,00000118,false,Rx,1,4,00,42,00,12,00,00,00,00,
183457,00000118,false,Rx,1,4,00,43,00,12,00,00,00,00,
193422,00000118,false,Rx,1,4,00,44,00,12,00,00,00,00,
203464,00000118,false,Rx,1,4,00,45,00,12,00,00,00,00,
213304,00000118,false,Rx,1,4,00,46,00,12,00,00,00,00,
223455,00000118,false,Rx,1,4,00,47,00,12,00,00,00,00,
233292,00000118,false,Rx,1,4,00,48,00,12,00,00,00,00,
243428,00000118,false,Rx,1,4,00,49,00,12,00,00,00,00,
