Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
76036476,00000118,false,Rx,1,4,00,40,4C,00,00,00,00,00,
76046781,00000118,false,Rx,1,4,00,41,4C,00,00,00,00,00,
76056437,00000118,false,Rx,1,4,00,42,4C,00,00,00,00,00,
76066763,00000118,false,Rx,1,4,00,43,4C,00,00,00,00,00,
76076816,00000118,false,Rx,1,4,00,44,4C,00,00,00,00,00,
76087524,00000118,false,Rx,1,4,00,45,4C,00,00,00,00,00,
76087819,17F0000F,true,Rx,1,8,00,0F,00,00,00,00,00,80,
76097076,000005BE,false,Rx,1,8,00,00,00,00,00,00,00,00,
76097238,00000118,false,Rx,1,4,00,46,4C,00,00,00,00,00,
76097337,0000054B,false,Rx,1,8,00,00,00,00,00,00,00,00,
76097444,000003DB,false,Rx,1,8,00,00,00,00,00,00,00,00,
76097548,000003C8,false,Rx,1,8,00,00,00,00,00,00,00,00,
76097656,000003BE,false,Rx,1,8,00,00,00,00,00,00,00,00,
76097762,00000392,false,Rx,1,8,00,00,00,00,00,00,00,00,
76097864,0000018C,false,Rx,1,8,00,00,00,00,00,00,00,00,
76107512,00000118,false,Rx,1,4,00,47,4C,00,00,00,00,00,
76117207,00000118,false,Rx,1,4,00,48,4C,00,00,00,00,00,
76127496,00000118,false,Rx,1,4,00,49,4C,00,00,00,00,00,
76137171,00000118,false,Rx,1,4,00,4A,4C,00,00,00,00,00,
76147499,00000118,false,Rx,1,4,00,4B,4C,00,00,00,00,00,
76157160,00000118,false,Rx,1,4,00,4C,4C,00,00,00,00,00,
76167482,00000118,false,Rx,1,4,00,4D,4C,00,00,00,00,00,
76177142,00000118,false,Rx,1,4,00,4E,4C,00,00,00,00,00,
76187455,00000118,false,Rx,1,4,00,4F,4C,00,00,00,00,00,
76197077,000005BE,false,Rx,1,8,00,00,00,00,00,00,00,00,
76197240,00000118,false,Rx,1,4,00,40,4C,00,00,00,00,00,
76197341,0000054B,false,Rx,1,8,00,00,00,00,00,00,00,00,
76197449,000003DB,false,Rx,1,8,00,00,00,00,00,00,00,00,
76197553,000003C8,false,Rx,1,8,00,00,00,00,00,00,00,00,
76197661,000003BE,false,Rx,1,8,00,00,00,00,00,00,00,00,
76197768,00000392,false,Rx,1,8,00,00,00,00,00,00,00,00,
76197869,0000018C,false,Rx,1,8,00,00,00,00,00,00,00,00,
76207434,00000118,false,Rx,1,4,00,41,4C,00,00,00,00,00,
76217130,00000118,false,Rx,1,4,00,42,4C,00,00,00,00,00,
76227461,00000118,false,Rx,1,4,00,43,4C,00,00,00,00,00,
76237120,00000118,false,Rx,1,4,00,44,4C,00,00,00,00,00,
76247542,00000118,false,Rx,1,4,00,45,4C,00,00,00,00,00,
