Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
23338621,00000118,false,Rx,1,4,00,43,00,00,00,00,00,00,
23348372,00000118,false,Rx,1,4,00,44,00,00,00,00,00,00,
23358623,00000118,false,Rx,1,4,00,45,00,00,00,00,00,00,
23368370,00000118,false,Rx,1,4,00,46,00,00,00,00,00,00,
23378621,00000118,false,Rx,1,4,00,47,00,00,00,00,00,00,
23388378,00000118,false,Rx,1,4,00,48,00,00,00,00,00,00,
23398621,00000118,false,Rx,1,4,00,49,00,00,00,00,00,00,
23408375,00000118,false,Rx,1,4,00,4A,00,00,00,00,00,00,
23418697,00000118,false,Rx,1,4,00,4B,00,00,00,00,00,00,
23428117,00000118,false,Rx,1,4,00,4C,00,00,00,00,00,00,
23438630,00000118,false,Rx,1,4,00,4D,00,00,00,00,00,00,
23448122,00000118,false,Rx,1,4,00,4E,00,00,00,00,00,00,
109622,00000118,false,Rx,1,4,00,4F,00,00,00,00,00,00,
119110,00000118,false,Rx,1,4,00,40,00,00,00,00,00,00,
129623,00000118,false,Rx,1,4,00,41,00,00,00,00,00,00,
139079,00000118,false,Rx,1,4,00,42,00,00,00,00,00,00,
149627,00000118,false,Rx,1,4,00,43,00,00,00,00,00,00,
159060,00000118,false,Rx,1,4,00,44,00,00,00,00,00,00,
169622,00000118,false,Rx,1,4,00,45,00,00,00,00,00,00,
179045,00000118,false,Rx,1,4,00,46,00,00,00,00,00,00,
189622,00000118,false,Rx,1,4,00,47,00,00,00,00,00,00,
199050,00000118,false,Rx,1,4,00,48,00,00,00,00,00,00,
209374,00000118,false,Rx,1,4,00,49,00,00,00,00,00,00,
219042,00000118,false,Rx,1,4,00,4A,00,00,00,00,00,00,
229370,00000118,false,Rx,1,4,00,4B,00,00,00,00,00,00,
239007,00000118,false,Rx,1,4,00,4C,00,00,00,00,00,00,
249374,00000118,false,Rx,1,4,00,4D,00,00,00,00,00,00,
258991,00000118,false,Rx,1,4,00,4E,00,00,00,00,00,00,
269621,00000118,false,Rx,1,4,00,4F,00,00,00,00,00,00,
278980,00000118,false,Rx,1,4,00,40,00,00,00,00,00,00,
289371,00000118,false,Rx,1,4,00,41,00,00,00,00,00,00,
298983,00000118,false,Rx,1,4,00,42,00,00,00,00,00,00,
309369,00000118,false,Rx,1,4,00,43,00,00,00,00,00,00,
318976,00000118,false,Rx,1,4,00,44,00,00,00,00,00,00,
329463,00000118,false,Rx,1,4,00,45,00,00,00,00,00,00,
330015,17F0000F,true,Rx,1,8,00,0F,00,00,00,00,00,80,
342657,00000118,false,Rx,1,4,00,46,00,00,00,00,00,00,
350422,00000118,false,Rx,1,4,00,47,00,00,00,00,00,00,
358948,00000118,false,Rx,1,4,00,48,00,00,00,00,00,00,
369299,00000118,false,Rx,1,4,00,49,00,00,00,00,00,00,
378947,00000118,false,Rx,1,4,00,4A,00,00,00,00,00,00,
389251,00000118,false,Rx,1,4,00,4B,00,00,00,00,00,00,
398935,00000118,false,Rx,1,4,00,4C,00,00,00,00,00,00,
409234,00000118,false,Rx,1,4,00,4D,00,00,00,00,00,00,
418880,00000118,false,Rx,1,4,00,4E,00,00,00,00,00,00,
429239,00000118,false,Rx,1,4,00,4F,00,00,00,00,00,00,
