Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2561133,00000106,false,Rx,0,8,5E,8E,65,00,00,00,E5,10,
2561146,00000117,false,Rx,0,8,CA,08,00,40,68,00,00,FF,
2561246,0000011E,false,Rx,0,8,F2,0E,00,00,00,00,00,00,
2569863,000000A8,false,Rx,0,8,57,0B,BF,58,7E,64,00,00,
2569880,00000380,false,Rx,0,8,84,05,40,00,00,00,00,FF,
2569893,0000011D,false,Rx,0,8,26,0F,00,00,00,00,00,00,
2569906,00000086,false,Rx,0,8,A3,0D,27,00,00,00,00,00,
2569919,0000009F,false,Rx,0,8,2A,3D,17,00,01,1D,00,40,
2569932,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2569946,000000FD,false,Rx,0,8,E6,DE,1F,80,00,00,00,00,
2569958,00000104,false,Rx,0,8,29,3E,A6,00,E6,00,00,31,
2579576,00000391,false,Rx,0,8,00,37,29,00,00,28,00,02,
2579598,000003BE,false,Rx,0,8,46,23,E7,01,42,80,00,80,
2579737,0000009F,false,Rx,0,8,86,3E,17,00,01,1D,00,40,
2579750,00000086,false,Rx,0,8,0F,0E,27,00,00,00,00,00,
2579763,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2579776,00000101,false,Rx,0,8,A2,0F,84,FB,A1,05,40,00,
2579790,00000106,false,Rx,0,8,CE,8F,64,00,00,00,E5,10,
2579803,0000011E,false,Rx,0,8,96,0F,00,00,00,00,00,00,
2589724,0000011D,false,Rx,0,8,64,00,00,00,00,00,00,00,
2589746,00000086,false,Rx,0,8,6B,0F,27,00,00,00,00,00,
2589760,0000009F,false,Rx,0,8,57,3F,17,00,01,1C,00,40,
2589773,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2589786,000000FD,false,Rx,0,8,71,DF,1F,80,00,00,00,00,
2589799,00000104,false,Rx,0,8,4D,3F,A6,00,E6,00,00,31,
2589813,00000116,false,Rx,0,8,2B,0F,01,04,00,00,00,FF,
2589826,000001A2,false,Rx,0,8,AB,07,10,00,E1,06,80,13,
2600452,000003C8,false,Rx,0,8,00,00,54,24,00,12,00,49,
2600475,00000395,false,Rx,0,8,18,07,40,06,FE,43,4F,0C,
2600613,0000009F,false,Rx,0,8,DA,30,17,00,01,1A,00,40,
2600626,00000086,false,Rx,0,8,29,00,27,00,00,00,00,00,
2600639,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2600653,00000101,false,Rx,0,8,E0,00,84,FB,A1,05,40,00,
2600666,00000106,false,Rx,0,8,78,80,65,00,00,00,E5,10,
2600679,0000011E,false,Rx,0,8,D4,00,00,00,00,00,00,00,
2610860,0000032A,false,Rx,0,8,3B,01,00,00,44,04,00,00,
2610951,00000086,false,Rx,0,8,4D,01,27,00,00,00,00,00,
2610966,0000009F,false,Rx,0,8,BE,31,17,00,01,1A,00,40,
2610980,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2610993,0000011D,false,Rx,0,8,00,01,00,00,00,00,00,00,
2611006,000000FD,false,Rx,0,8,0B,D0,1F,80,00,00,00,00,
2611019,00000104,false,Rx,0,8,0F,30,A6,00,E6,00,00,31,
2611032,00000116,false,Rx,0,8,69,00,01,04,00,00,00,FF,
2620499,0000009F,false,Rx,0,8,12,32,17,00,01,1A,00,40,
2620526,00000086,false,Rx,0,8,E1,02,27,00,00,00,00,00,
2620542,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2620555,00000101,false,Rx,0,8,84,01,84,FB,A1,05,40,00,
2620568,00000106,false,Rx,0,8,1C,81,65,00,00,00,E5,10,
2620581,0000011E,false,Rx,0,8,B0,01,00,00,00,00,00,00,
2620594,00000117,false,Rx,0,8,66,0B,00,40,68,00,00,FF,
2620691,000002B7,false,Rx,0,8,12,08,00,00,00,00,00,00,
2629476,0000011D,false,Rx,0,8,AC,02,00,00,00,00,00,00,
2629503,00000086,false,Rx,0,8,85,03,27,00,00,00,00,00,
2629519,0000009F,false,Rx,0,8,B9,33,17,00,01,1C,00,40,
2629532,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2629545,000000FD,false,Rx,0,8,01,D1,1F,80,00,00,00,00,
2629558,00000104,false,Rx,0,8,6B,31,A6,00,E6,00,00,31,
2629571,00000116,false,Rx,0,8,0D,01,01,04,00,00,00,FF,
2629584,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
2640529,0000009F,false,Rx,0,8,1F,34,17,00,01,1D,00,40,
2640563,00000086,false,Rx,0,8,96,04,27,00,00,00,00,00,
2641284,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2641298,00000101,false,Rx,0,8,28,02,84,FB,A1,05,40,00,
2641311,00000106,false,Rx,0,8,B0,82,65,00,00,00,E5,10,
2647273,0000011E,false,Rx,0,8,1C,02,00,00,00,00,00,00,
2647302,0000031B,false,Rx,0,8,79,00,00,00,00,00,00,00,
2647316,00000117,false,Rx,0,8,75,0C,00,40,68,00,00,FF,
2650697,000000A7,false,Rx,0,8,5B,E3,1F,7C,FD,C1,07,1F,
2650711,000000A8,false,Rx,0,8,76,03,BF,58,7E,64,00,00,
2650886,000003C0,false,Rx,0,4,FE,04,03,00,00,00,00,00,
2650899,00000040,false,Rx,0,8,60,09,00,00,C1,00,00,00,
2650926,00000380,false,Rx,0,8,28,06,40,00,00,00,00,FF,
2650938,00000520,false,Rx,0,8,62,0A,00,08,00,0A,00,00,
2650952,00000584,false,Rx,0,6,68,0A,00,00,00,00,00,00,
2650965,000005F0,false,Rx,0,8,64,00,64,00,00,64,00,00,
2661743,0000032A,false,Rx,0,8,97,02,00,00,44,04,00,00,
2661770,00000086,false,Rx,0,8,5E,06,27,00,00,00,00,00,
2661784,0000009F,false,Rx,0,8,D7,36,17,00,01,1D,00,40,
