Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
101119696,0000012E,false,Rx,0,8,6B,E2,7F,00,FE,00,C0,FF,
101119709,000000A7,false,Rx,0,8,08,3C,E0,80,FD,0D,B8,3E,
101119722,000000A8,false,Rx,0,8,9C,BC,1E,58,81,64,44,0D,
101130804,000000AD,false,Rx,0,8,E3,E7,BF,FF,8F,20,00,10,
101130829,00000365,false,Rx,0,8,C0,C6,12,40,8E,02,A8,7A,
101130843,0000011D,false,Rx,0,8,8C,08,00,C8,00,00,00,00,
101130856,00000086,false,Rx,0,8,69,0F,0E,00,00,00,00,00,
101130869,0000009F,false,Rx,0,8,BA,3F,08,00,03,07,00,40,
101130882,00000380,false,Rx,0,8,4C,07,40,00,00,00,00,FF,
101130895,00000117,false,Rx,0,8,53,02,00,40,68,00,00,FF,
101130908,000000A7,false,Rx,0,8,F8,3D,E0,80,FD,0D,B8,3E,
101141360,00000108,false,Rx,0,8,70,1B,D0,22,57,FE,00,00,
101141385,0000030B,false,Rx,0,8,10,00,02,00,08,00,00,00,
101141538,0000009F,false,Rx,0,8,F8,30,08,00,03,07,00,40,
101141551,00000086,false,Rx,0,8,2B,00,0E,00,00,00,00,00,
101141564,000003C0,false,Rx,0,4,4F,08,03,00,00,00,00,00,
101141577,000000A7,false,Rx,0,8,73,3E,E0,80,FD,0D,B8,3E,
101141590,000000A8,false,Rx,0,8,4D,BE,1E,58,81,64,4C,0D,
101141603,0000012E,false,Rx,0,8,F2,E3,7F,00,FE,00,C0,FF,
101149948,00000640,false,Rx,0,8,A0,56,6A,BA,80,A0,99,00,
101149970,0000065F,false,Rx,0,8,2E,20,00,00,00,00,37,7F,
101149984,00000670,false,Rx,0,8,20,10,00,00,00,01,00,88,
101149997,0000011D,false,Rx,0,8,E8,09,00,C8,00,00,00,00,
101150010,00000086,false,Rx,0,8,4F,01,0E,00,00,00,00,00,
101150023,0000009F,false,Rx,0,8,9C,31,08,00,03,07,00,40,
101150037,000003E5,false,Rx,0,8,E2,15,00,00,00,00,00,00,
101150050,00000040,false,Rx,0,8,9C,01,00,00,C0,00,00,00,
101161266,0000009F,false,Rx,0,8,71,32,08,00,03,08,00,40,
101163178,00000086,false,Rx,0,8,E3,02,0E,00,00,00,00,00,
101163192,000000A7,false,Rx,0,8,64,30,E0,80,FD,0D,B8,3E,
101165855,00000108,false,Rx,0,8,63,1C,D0,22,57,FE,00,00,
101165884,000000A8,false,Rx,0,8,92,B0,1E,58,81,64,48,0D,
101165898,0000012E,false,Rx,0,8,D5,E4,7F,00,FE,00,C0,FF,
101166035,00000120,false,Rx,0,8,00,08,00,00,01,04,FF,01,
101166048,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
101166061,000000FD,false,Rx,0,8,70,D7,1F,80,00,00,20,00,
101166074,00000121,false,Rx,0,8,A3,08,00,80,38,55,7E,FE,
101166087,00000104,false,Rx,0,8,86,37,A6,00,E6,00,02,00,
101176164,00000117,false,Rx,0,8,24,04,00,40,68,00,00,FF,
101176192,000000A7,false,Rx,0,8,EC,31,E0,80,FD,0D,B8,3E,
101178936,000000A8,false,Rx,0,8,A0,B1,1E,58,81,64,44,0D,
101178960,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
101178974,000000B1,false,Rx,0,8,85,27,00,00,00,00,00,00,
101179097,00000101,false,Rx,0,8,8D,08,7D,03,A2,0B,40,00,
101179111,00000106,false,Rx,0,8,2D,88,AD,04,08,00,F5,39,
101179124,0000011E,false,Rx,0,8,85,08,00,00,00,00,00,00,
101179137,0000030D,false,Rx,0,4,00,01,00,00,00,00,00,00,
101179150,000003C8,false,Rx,0,8,00,00,54,24,05,12,80,59,
101189253,00000116,false,Rx,0,8,A5,08,D2,4C,AE,C1,B1,FF,
101189280,0000031B,false,Rx,0,8,5B,09,00,00,00,74,11,00,
101189294,00000108,false,Rx,0,8,07,1D,D0,22,57,FE,00,00,
101193250,00000396,false,Rx,0,8,78,00,00,11,00,00,00,00,
101193264,0000030B,false,Rx,0,8,10,01,02,00,08,00,00,00,
101193278,1B000012,true,Rx,0,8,12,00,04,01,11,00,00,00,
101193292,0000011D,false,Rx,0,8,20,0B,00,C8,00,00,00,00,
101193305,00000086,false,Rx,0,8,F0,05,0E,00,00,00,00,00,
101193318,0000009F,false,Rx,0,8,23,35,08,00,03,07,00,40,
101199110,00000117,false,Rx,0,8,40,05,00,40,68,00,00,FF,
101199124,000000A7,false,Rx,0,8,19,33,E0,80,FD,0D,B8,3E,
101199138,000000A8,false,Rx,0,8,9B,B3,1E,58,81,64,40,0D,
101199151,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
101199164,00000101,false,Rx,0,8,C7,09,7D,02,A2,0C,40,00,
101199177,00000106,false,Rx,0,8,49,89,AD,04,08,00,F5,39,
101199190,0000011E,false,Rx,0,8,E1,09,00,00,00,00,00,00,
101199203,0000009F,false,Rx,0,8,8F,36,08,00,03,07,00,40,
101209314,00000121,false,Rx,0,8,39,0A,00,80,38,55,7E,FE,
101210072,00000116,false,Rx,0,8,C1,09,D2,4C,AE,C1,B1,FF,
101210087,0000011D,false,Rx,0,8,33,0C,00,C8,00,00,00,00,
101210102,00000086,false,Rx,0,8,38,07,0E,00,00,00,00,00,
101210115,0000009F,false,Rx,0,8,EB,37,08,00,03,07,00,40,
101210129,00000668,false,Rx,0,8,02,00,00,29,00,03,31,01,
101210142,00000380,false,Rx,0,8,0E,08,40,00,00,00,00,FF,
101210155,00000117,false,Rx,0,8,EC,06,00,40,68,00,00,FF,
101210168,000000A7,false,Rx,0,8,58,35,E0,80,FD,0D,B8,3E,
101220645,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,9F,
101220668,00000497,false,Rx,0,8,00,00,80,01,64,46,00,24,
101220681,0000032A,false,Rx,0,8,B1,0C,00,00,44,04,00,00,
101220822,00000086,false,Rx,0,8,7A,08,0E,00,00,00,00,00,
101220835,0000009F,false,Rx,0,8,A9,38,08,00,03,07,00,40,
101220848,000000A7,false,Rx,0,8,CB,36,E0,80,FD,0D,B8,3E,
101220861,0000012E,false,Rx,0,8,6C,E7,7F,00,FE,00,C0,FF,
101220875,000000A8,false,Rx,0,8,25,B6,1E,58,81,64,4C,0D,
101230923,00000365,false,Rx,0,8,C0,C6,12,40,8E,02,A8,7A,
101230948,0000011D,false,Rx,0,8,57,0D,00,C8,00,00,00,00,
101230962,00000086,false,Rx,0,8,1E,09,0E,00,00,00,00,00,
101230975,0000009F,false,Rx,0,8,CD,39,08,00,03,07,00,40,
101230988,00000117,false,Rx,0,8,88,07,00,40,68,00,00,FF,
101231001,000000A7,false,Rx,0,8,42,37,E0,80,FD,0D,B8,3E,
101231014,000000A8,false,Rx,0,8,30,B7,1E,58,81,64,4C,0D,
101231027,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
101241281,00000108,false,Rx,0,8,CF,1F,D0,22,57,FE,00,00,
101241313,0000030B,false,Rx,0,8,10,02,02,00,08,00,00,00,
101243901,0000009F,false,Rx,0,8,61,3A,08,00,03,07,00,40,
101243921,00000086,false,Rx,0,8,B2,0A,0E,00,00,00,00,00,
101243934,000003C0,false,Rx,0,4,FA,09,03,00,00,00,00,00,
101243947,0000012E,false,Rx,0,8,05,E8,7F,00,FE,00,C0,FF,
101244044,000000A7,false,Rx,0,8,0F,38,E0,80,FD,0D,B8,3E,
101244057,000000A8,false,Rx,0,8,BA,B8,1E,58,81,64,50,0D,
101244070,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
101244083,000000FD,false,Rx,0,8,E6,DB,1F,80,00,00,20,00,
101252720,00000121,false,Rx,0,8,57,0C,00,80,38,55,7E,FE,
101252743,00000391,false,Rx,0,8,0F,7F,24,49,00,28,00,62,
101252757,000003DB,false,Rx,0,8,50,00,01,00,06,20,01,72,
101252770,000003BE,false,Rx,0,8,1E,3F,E6,51,88,80,00,80,
101252783,00000395,false,Rx,0,8,18,03,24,06,B5,40,50,1C,
101252797,000003E5,false,Rx,0,8,EB,16,00,00,00,00,00,00,
101252810,00000086,false,Rx,0,8,D6,0B,0E,00,00,00,00,00,
101252823,0000009F,false,Rx,0,8,05,3B,08,00,03,07,00,40,
101262436,0000009F,false,Rx,0,8,16,3C,08,00,03,07,00,40,
101262464,00000086,false,Rx,0,8,C5,0C,0E,00,00,00,00,00,
101262570,000000A7,false,Rx,0,8,D9,3A,E0,80,FD,0D,B8,3E,
101262583,00000108,false,Rx,0,8,8D,10,D0,22,57,FE,00,00,
101262596,000000A8,false,Rx,0,8,E7,BA,1E,58,81,64,58,0D,
101262609,0000012E,false,Rx,0,8,79,E9,7F,00,FE,00,C0,FF,
101262622,00000120,false,Rx,0,8,4B,0D,00,00,01,04,FF,01,
101262635,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
101272948,0000032A,false,Rx,0,8,D5,0D,00,00,44,04,00,00,
101272979,00000086,false,Rx,0,8,A1,0D,0E,00,00,00,00,00,
101273080,0000009F,false,Rx,0,8,72,3D,08,00,03,07,00,40,
101273093,0000011D,false,Rx,0,8,9F,0F,00,C8,00,00,00,00,
101273106,00000117,false,Rx,0,8,AE,09,00,40,68,00,00,FF,
101273119,000000A7,false,Rx,0,8,B7,3B,E0,80,FD,0D,B8,3E,
