Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
46348514,0000030B,false,Rx,0,8,10,0C,02,00,08,00,00,00,
46348527,00000584,false,Rx,0,6,43,0F,00,00,00,00,00,00,
46348540,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
46348553,000000FD,false,Rx,0,8,D0,D4,1F,80,00,00,23,00,
46348566,00000104,false,Rx,0,8,2A,34,A6,00,E6,00,02,00,
46356563,0000009F,false,Rx,0,8,25,3B,50,00,03,0E,00,40,
46356599,00000108,false,Rx,0,8,65,13,D2,25,57,FE,00,00,
46356614,00000040,false,Rx,0,8,DF,0D,00,00,C1,00,00,00,
46356627,00000520,false,Rx,0,8,B9,0F,00,08,00,0A,00,00,
46356640,00000117,false,Rx,0,8,9B,00,00,40,68,00,00,FF,
46356653,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
46356666,00000101,false,Rx,0,8,F9,05,7F,E6,A1,06,40,00,
46356679,00000106,false,Rx,0,8,96,85,9C,04,08,04,F4,39,
46359421,00000391,false,Rx,0,8,11,6C,25,53,00,28,00,22,
46359436,000003BE,false,Rx,0,8,2F,1A,E6,51,88,80,00,80,
46369600,0000012E,false,Rx,0,8,A2,E1,7F,00,FE,00,C0,FF,
46369626,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
46369640,000000FD,false,Rx,0,8,4A,D5,1F,80,00,00,23,00,
46369653,00000104,false,Rx,0,8,4E,35,A6,00,E6,00,02,00,
46369666,00000116,false,Rx,0,8,E4,05,2D,1C,22,00,16,FF,
46369680,00000392,false,Rx,0,8,64,2A,00,00,00,00,00,04,
46369693,000000A7,false,Rx,0,8,01,6B,E0,81,FD,1D,A8,3E,
46369706,000000A8,false,Rx,0,8,68,AB,1E,58,82,64,5C,0D,
46380716,00000108,false,Rx,0,8,76,14,D2,25,57,FE,00,00,
46380881,00000117,false,Rx,0,8,FF,01,00,40,68,00,00,FF,
46380894,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
46380907,00000101,false,Rx,0,8,A1,06,7F,E6,A1,08,40,00,
46380920,00000106,false,Rx,0,8,3A,86,9C,04,08,04,F4,39,
46380934,0000011E,false,Rx,0,8,A3,06,00,00,00,00,00,00,
46380946,0000030D,false,Rx,0,4,00,01,00,00,00,00,00,00,
46380959,000000A7,false,Rx,0,8,1C,7C,E0,81,FD,1D,A8,3E,
46392139,000003C8,false,Rx,0,8,00,00,54,24,05,12,80,4F,
46392164,0000012E,false,Rx,0,8,6B,E2,7F,00,FE,00,C0,FF,
46393826,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
46393839,000000FD,false,Rx,0,8,58,D6,1F,80,00,00,23,00,
46393868,00000104,false,Rx,0,8,E2,36,A6,00,E6,00,02,00,
46393881,00000116,false,Rx,0,8,48,06,2D,1C,22,00,16,FF,
46393894,0000031B,false,Rx,0,8,C1,05,00,00,06,5C,93,00,
46393907,000000A7,false,Rx,0,8,EC,7D,E0,81,FD,1D,A8,3E,
46393920,000000A8,false,Rx,0,8,5D,AD,1E,58,82,64,58,0D,
46393933,000000AD,false,Rx,0,8,74,E8,BF,FF,8F,20,00,10,
