Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1620103,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1620120,00000101,false,Rx,0,8,0D,08,7F,E6,A1,0C,40,00,
1620133,00000106,false,Rx,0,8,B2,88,9C,04,08,00,F2,39,
1620146,0000011E,false,Rx,0,8,85,08,00,00,00,00,00,00,
1620159,00000117,false,Rx,0,8,37,03,00,40,68,00,00,FF,
1620172,000000A7,false,Rx,0,8,41,60,A0,81,FD,19,A8,3E,
1620185,000002B7,false,Rx,0,8,57,0E,00,00,00,00,00,00,
1629203,00000497,false,Rx,0,8,00,40,00,00,64,46,00,20,
1629226,00000108,false,Rx,0,8,8D,16,D1,25,57,FE,00,00,
1629239,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1629253,000000FD,false,Rx,0,8,B7,D8,1F,80,00,00,20,00,
1629266,00000104,false,Rx,0,8,C4,38,A6,00,E6,00,02,00,
1629279,00000116,false,Rx,0,8,69,08,0C,98,A1,FC,0D,FF,
1629292,0000030D,false,Rx,0,4,00,01,00,00,00,00,00,00,
1629305,0000012E,false,Rx,0,8,D5,E4,7F,00,FE,00,C0,FF,
1639662,000000A8,false,Rx,0,8,FD,A1,FE,D7,81,64,48,0D,
1639677,0000011D,false,Rx,0,8,44,0A,00,C8,00,00,00,00,
1639808,00000086,false,Rx,0,8,79,03,82,00,00,00,00,00,
1639821,0000009F,false,Rx,0,8,70,33,50,00,03,03,00,40,
1639834,000006B4,false,Rx,0,8,02,57,33,37,32,32,38,33,
1639848,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1639861,00000101,false,Rx,0,8,A2,09,7F,E6,A1,07,40,00,
1639908,00000106,false,Rx,0,8,D6,89,9C,04,08,00,F2,39,
1648377,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1648399,0000030B,false,Rx,0,8,10,0E,02,00,08,00,00,00,
1648526,000000FD,false,Rx,0,8,85,D9,1F,80,00,00,20,00,
1648539,00000104,false,Rx,0,8,A0,39,A6,00,E6,00,02,00,
1648552,00000116,false,Rx,0,8,0D,09,0C,98,A1,FC,0D,FF,
1648565,0000012E,false,Rx,0,8,35,E5,7F,00,FE,00,C0,FF,
1648579,00000040,false,Rx,0,8,17,0F,00,00,C1,00,00,00,
1648592,000000A7,false,Rx,0,8,3C,63,A0,81,FD,19,A8,3E,
1655875,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1655903,00000101,false,Rx,0,8,FA,0A,7F,E6,A1,09,40,00,
1655917,00000106,false,Rx,0,8,7A,8A,9C,04,08,00,F2,39,
1655930,0000011E,false,Rx,0,8,4D,0A,00,00,00,00,00,00,
1655943,00000117,false,Rx,0,8,40,05,00,40,68,00,00,FF,
1655956,000003EC,false,Rx,0,8,C1,00,00,00,00,08,01,00,
1655969,000000A7,false,Rx,0,8,06,64,A0,81,FD,19,A8,3E,
1657651,000000A8,false,Rx,0,8,C2,A4,FE,D7,81,64,50,0D,
1657667,00000380,false,Rx,0,8,E0,04,40,00,00,00,00,FF,
1657681,0000011B,false,Rx,0,8,00,20,00,00,00,00,00,00,
1669981,00000381,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,5F,
1670012,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,5F,
1670027,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1670040,000000FD,false,Rx,0,8,C9,DA,1F,80,00,00,20,00,
1670053,00000104,false,Rx,0,8,0C,3A,A6,00,E6,00,02,00,
1670066,00000116,false,Rx,0,8,A1,0A,0C,98,A1,FC,0D,FF,
1670079,00000392,false,Rx,0,8,00,2B,00,00,00,00,00,04,
1670092,0000012E,false,Rx,0,8,7F,E6,7F,00,FE,00,C0,FF,
1680606,00000395,false,Rx,0,8,18,0F,24,06,B5,41,50,5C,
1680632,00000108,false,Rx,0,8,AB,18,D1,25,57,FE,00,00,
1680646,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1680659,00000101,false,Rx,0,8,DF,0B,7F,E6,A1,06,40,00,
1680672,00000106,false,Rx,0,8,1E,8B,9C,04,08,00,F2,39,
1680686,0000011E,false,Rx,0,8,29,0B,00,00,00,00,00,00,
1680699,000001AB,false,Rx,0,8,00,0B,00,02,00,00,04,00,
1680712,0000030D,false,Rx,0,4,00,01,00,00,00,00,00,00,
1690210,000000B1,false,Rx,0,8,71,2E,00,00,00,00,00,00,
1690241,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1690257,000003C8,false,Rx,0,8,00,00,54,24,05,12,80,4E,
1690270,000000FD,false,Rx,0,8,E6,DB,1F,80,00,00,20,00,
1690283,00000104,false,Rx,0,8,68,3B,A6,00,E6,00,02,00,
1690296,00000116,false,Rx,0,8,C5,0B,0C,98,A1,FC,0D,FF,
1690309,000001A2,false,Rx,0,8,72,0D,10,00,E1,06,00,1A,
1698792,0000031B,false,Rx,0,8,72,07,00,00,00,3B,13,00,
1698825,1B000013,true,Rx,0,8,13,00,04,01,01,00,00,00,
1698839,0000012E,false,Rx,0,8,6C,E7,7F,00,FE,00,C0,FF,
1698971,000000AD,false,Rx,0,8,B4,E2,BF,FF,8F,20,00,10,
