Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2675695,00000101,false,Rx,0,8,79,0A,84,FB,A1,05,40,00,
2675708,00000106,false,Rx,0,8,ED,8A,CC,04,08,00,F6,30,
2675722,0000011E,false,Rx,0,8,4D,0A,00,00,00,00,00,00,
2675735,000000A7,false,Rx,0,8,F9,33,E0,80,FD,0D,A8,3E,
2675748,000000A8,false,Rx,0,8,9C,A3,3E,58,86,64,58,10,
2675762,1B000012,true,Rx,0,8,12,00,04,01,11,00,00,00,
2675776,000002B7,false,Rx,0,8,55,02,00,00,00,00,00,00,
2685897,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2685925,000000FD,false,Rx,0,8,26,DA,1F,80,00,00,00,00,
2686026,00000104,false,Rx,0,8,96,3A,A6,00,E6,00,00,31,
2686039,00000116,false,Rx,0,8,F0,0A,01,04,00,00,00,FF,
2686052,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
2686065,00000381,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,DF,
2686078,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,DF,
2686091,00000497,false,Rx,0,8,00,60,00,00,64,46,00,20,
2694255,000006B4,false,Rx,0,8,00,F2,F6,7B,AC,57,56,57,
2694277,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2694291,00000101,false,Rx,0,8,1D,0B,84,FB,A1,05,40,00,
2698423,00000106,false,Rx,0,8,89,8B,CC,04,08,00,F6,30,
2698437,0000011E,false,Rx,0,8,29,0B,00,00,00,00,00,00,
2698572,0000031B,false,Rx,0,8,08,0A,00,00,00,00,00,00,
2698584,000000A7,false,Rx,0,8,C7,35,20,81,FD,0D,A8,3E,
2698598,000000A8,false,Rx,0,8,82,A5,3E,58,86,64,4C,10,
2698611,0000011D,false,Rx,0,8,33,0C,00,C8,00,00,00,00,
2698624,00000086,false,Rx,0,8,3A,07,27,00,00,00,00,00,
2698655,0000009F,false,Rx,0,8,BC,37,17,00,03,1A,00,40,
2709140,000000A7,false,Rx,0,8,54,36,20,81,FD,0D,A8,3E,
2709166,000000A8,false,Rx,0,8,C2,A6,3E,58,86,64,44,10,
2709293,00000120,false,Rx,0,8,21,0B,00,00,01,04,FF,01,
2709306,00000121,false,Rx,0,8,38,0B,00,C0,35,69,7E,FE,
2709319,0000030B,false,Rx,0,8,10,02,02,00,08,00,00,00,
2715201,00000117,false,Rx,0,8,EC,06,00,40,68,00,00,FF,
2715214,00000086,false,Rx,0,8,78,08,27,00,00,00,00,00,
2715228,0000009F,false,Rx,0,8,FE,38,17,00,03,1A,00,40,
2715241,0000032A,false,Rx,0,8,B1,0C,00,00,44,04,00,00,
2715254,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2715267,00000101,false,Rx,0,8,FE,0C,84,FB,A1,06,40,00,
2715280,00000108,false,Rx,0,8,DA,1F,D2,26,56,FE,00,00,
2715293,00000106,false,Rx,0,8,9A,8C,CC,04,08,00,F6,30,
2723567,000000A8,false,Rx,0,8,9F,A7,3E,58,86,64,48,10,
2723584,0000011D,false,Rx,0,8,57,0D,00,C8,00,00,00,00,
2723597,00000086,false,Rx,0,8,1C,09,27,00,00,00,00,00,
2723610,0000009F,false,Rx,0,8,2F,39,17,00,03,1B,00,40,
2723627,0000012E,false,Rx,0,8,6C,E7,7F,00,FE,00,C0,FF,
2723640,000003EC,false,Rx,0,8,C1,00,00,00,00,08,01,00,
2724144,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2724159,000000FD,false,Rx,0,8,90,DC,1F,80,00,00,00,00,
2733557,0000009F,false,Rx,0,8,83,3A,17,00,03,1B,00,40,
2733706,00000117,false,Rx,0,8,88,07,00,40,68,00,00,FF,
2733719,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
