Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1099577,00000086,false,Rx,0,8,F2,05,27,00,00,00,00,00,
1099590,0000009F,false,Rx,0,8,CE,35,17,00,01,1C,00,40,
1099603,00000381,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,7F,
1099616,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,7F,
1099629,0000012E,false,Rx,0,8,58,ED,7F,00,FE,00,C0,FF,
1099642,000002B7,false,Rx,0,8,FE,0F,00,00,00,00,00,00,
1109029,000000A7,false,Rx,0,8,1A,E5,1F,7C,FD,C1,07,1F,
1109059,000000A8,false,Rx,0,8,B0,05,BF,58,7E,64,00,00,
1109074,00000108,false,Rx,0,8,C9,18,D2,26,56,FE,00,00,
1109087,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1109101,000000FD,false,Rx,0,8,BB,D3,1F,80,00,00,00,00,
1109114,00000104,false,Rx,0,8,A3,33,A6,00,E6,00,00,31,
1109127,00000116,false,Rx,0,8,C5,03,01,04,00,00,00,FF,
1109140,00000585,false,Rx,0,8,09,3C,00,7F,14,00,00,00,
1119257,00000040,false,Rx,0,8,55,00,00,00,C1,00,00,00,
1119280,000000A7,false,Rx,0,8,89,E6,1F,7C,FD,C1,07,1F,
1119294,000000A8,false,Rx,0,8,80,06,BF,58,7E,64,00,00,
1119307,000000B1,false,Rx,0,8,13,20,00,00,00,00,00,00,
1119320,00000120,false,Rx,0,8,E0,03,00,00,01,04,FF,01,
1123658,00000121,false,Rx,0,8,C8,03,00,00,10,66,7E,FE,
1123672,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1123685,000003C8,false,Rx,0,8,00,00,54,24,00,12,00,49,
1123698,00000101,false,Rx,0,8,EA,04,84,FB,A1,04,40,00,
1123711,00000106,false,Rx,0,8,C7,84,65,00,00,00,E5,10,
1123724,00000395,false,Rx,0,8,18,0F,40,06,FE,43,4F,0C,
1123737,0000011E,false,Rx,0,8,6B,04,00,00,00,00,00,00,
1123750,0000009F,false,Rx,0,8,F1,38,17,00,01,1D,00,40,
1127937,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1127955,000000FD,false,Rx,0,8,2D,D4,1F,80,00,00,00,00,
1128197,00000104,false,Rx,0,8,B0,34,A6,00,E6,00,00,31,
1128215,00000116,false,Rx,0,8,D6,04,01,04,00,00,00,FF,
1128228,0000032A,false,Rx,0,8,6A,09,00,00,44,04,00,00,
1139899,0000012E,false,Rx,0,8,85,EF,7F,00,FE,00,C0,FF,
1139932,00000108,false,Rx,0,8,AD,19,D2,26,56,FE,00,00,
1139947,00000396,false,Rx,0,8,3A,0F,00,11,00,00,00,00,
1139960,000000A7,false,Rx,0,8,4D,E8,1F,7C,FD,C1,07,1F,
1139974,000000A8,false,Rx,0,8,B7,08,BF,58,7E,64,00,00,
1139987,00000120,false,Rx,0,8,B6,04,00,00,01,04,FF,01,
1140000,00000121,false,Rx,0,8,75,04,00,00,10,66,7E,FE,
1140013,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1148101,000002B7,false,Rx,0,8,DC,00,00,00,00,00,00,00,
1148129,000000A7,false,Rx,0,8,9D,E9,1F,7C,FD,C1,07,1F,
1148145,000000A8,false,Rx,0,8,C5,09,BF,58,7E,64,00,00,
1148158,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1148171,000000FD,false,Rx,0,8,B7,D5,1F,80,00,00,00,00,
1148184,00000104,false,Rx,0,8,D4,35,A6,00,E6,00,00,31,
1148197,00000116,false,Rx,0,8,B2,05,01,04,00,00,00,FF,
1148211,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
1157686,00000497,false,Rx,0,8,00,00,00,00,64,46,00,20,
1157713,0000012E,false,Rx,0,8,AC,E0,7F,00,FE,00,C0,FF,
1157851,000000A7,false,Rx,0,8,9B,EA,1F,7C,FD,C1,07,1F,
1157864,000000A8,false,Rx,0,8,9A,0A,BF,58,7E,64,00,00,
1157877,00000120,false,Rx,0,8,B4,05,00,00,01,04,FF,01,
1157890,00000121,false,Rx,0,8,42,05,00,00,10,66,7E,FE,
1157903,00000108,false,Rx,0,8,01,1A,D2,26,56,FE,00,00,
1157916,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1167648,00000117,false,Rx,0,8,9B,00,00,40,68,00,00,FF,
1167680,00000040,false,Rx,0,8,31,01,00,00,C1,00,00,00,
1167696,000003C0,false,Rx,0,4,4F,08,03,00,00,00,00,00,
1167709,00000041,false,Rx,0,8,1D,00,00,00,00,00,00,00,
1167723,000000A7,false,Rx,0,8,F5,EB,1F,7C,FD,C1,07,1F,
1167736,000000A8,false,Rx,0,8,57,0B,BF,58,7E,64,00,00,
1167749,00000380,false,Rx,0,8,4C,07,40,00,00,00,00,FF,
1167762,00000584,false,Rx,0,6,41,04,00,00,00,00,00,00,
1178988,00000381,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,8F,
1179015,0000012E,false,Rx,0,8,A2,E1,7F,00,FE,00,C0,FF,
1179030,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,8F,
1179043,00000365,false,Rx,0,8,8B,C0,00,00,80,02,00,7A,
1179056,0000030B,false,Rx,0,8,10,00,02,00,08,00,00,00,
1179069,000000A7,false,Rx,0,8,4A,EC,1F,7C,FD,C1,07,1F,
1179082,000000A8,false,Rx,0,8,49,0C,BF,58,7E,64,00,00,
1179096,00000120,false,Rx,0,8,5B,06,00,00,01,04,FF,01,
1189321,000000A7,false,Rx,0,8,BA,ED,1F,7C,FD,C1,07,1F,
1189511,000000A8,false,Rx,0,8,5A,0D,BF,58,7E,64,00,00,
1189525,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1189538,000000FD,false,Rx,0,8,9F,D7,1F,80,00,00,00,00,
1189551,00000104,false,Rx,0,8,1C,37,A6,00,E6,00,00,31,
1189564,00000116,false,Rx,0,8,7A,07,01,04,00,00,00,FF,
1189577,00000392,false,Rx,0,8,42,24,00,00,00,00,00,04,
1189592,17F00013,true,Rx,0,8,20,13,00,00,00,00,00,80,
1200401,000002B7,false,Rx,0,8,8D,01,00,00,00,00,00,00,
1200429,000000A7,false,Rx,0,8,31,EE,1F,7C,FD,C1,07,1F,
1200443,000000A8,false,Rx,0,8,E8,0E,BF,58,7E,64,00,00,
1200456,0000011B,false,Rx,0,8,00,00,00,00,00,00,00,00,
1200469,00000120,false,Rx,0,8,59,07,00,00,01,04,FF,01,
1200483,00000121,false,Rx,0,8,16,07,00,00,10,66,7E,FE,
1200496,000003E5,false,Rx,0,8,EB,16,00,00,00,00,00,00,
1200509,00000391,false,Rx,0,8,00,37,29,00,00,28,00,02,
1208360,000000A7,false,Rx,0,8,EF,EF,1F,7C,FD,C1,07,1F,
1208384,000000A8,false,Rx,0,8,67,0F,BF,58,7E,64,00,00,
1208398,00000108,false,Rx,0,8,76,1C,D2,26,56,FE,00,00,
1208411,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1208425,000000FD,false,Rx,0,8,58,D8,1F,80,00,00,00,00,
1208437,00000104,false,Rx,0,8,5E,38,A6,00,E6,00,00,31,
1208451,00000116,false,Rx,0,8,38,08,01,04,00,00,00,FF,
1208524,0000031B,false,Rx,0,8,52,09,00,00,00,00,00,00,
1219266,00000040,false,Rx,0,8,9D,02,00,00,C1,00,00,00,
1221080,000000A7,false,Rx,0,8,26,E0,1F,7C,FD,C1,07,1F,
1221101,000000A8,false,Rx,0,8,0F,00,BF,58,7E,64,00,00,
1221114,000000B1,false,Rx,0,8,D6,21,00,00,00,00,00,00,
1221128,00000120,false,Rx,0,8,00,08,00,00,01,04,FF,01,
1221220,00000121,false,Rx,0,8,D5,08,00,00,10,66,7E,FE,
1221233,000003C8,false,Rx,0,8,00,00,54,24,00,12,00,49,
1221246,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1221259,00000101,false,Rx,0,8,D5,09,84,FB,A1,05,40,00,
1230350,000000AD,false,Rx,0,8,2F,EC,BF,FF,00,14,00,00,
1230397,00000395,false,Rx,0,8,18,09,40,06,FE,43,4F,0C,
1230530,00000117,false,Rx,0,8,37,03,00,40,68,00,00,FF,
1230543,00000365,false,Rx,0,8,8B,C0,00,00,80,02,00,7A,
1230556,0000030B,false,Rx,0,8,10,01,02,00,08,00,00,00,
1230569,000000A7,false,Rx,0,8,AE,E1,1F,7C,FD,C1,07,1F,
1230582,000000A8,false,Rx,0,8,75,01,BF,58,7E,64,00,00,
1230595,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1239127,000000A7,false,Rx,0,8,DA,E2,1F,7C,FD,C1,07,1F,
1239154,000000A8,false,Rx,0,8,99,02,BF,58,7E,64,00,00,
1239170,00000120,false,Rx,0,8,56,09,00,00,01,04,FF,01,
1239183,00000121,false,Rx,0,8,2A,09,00,00,10,66,7E,FE,
1239196,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1239210,00000101,false,Rx,0,8,79,0A,84,FB,A1,05,40,00,
1239222,00000106,false,Rx,0,8,E1,8A,65,00,00,00,E5,10,
1239236,0000011E,false,Rx,0,8,4D,0A,00,00,00,00,00,00,
1242929,000002B7,false,Rx,0,8,55,02,00,00,00,00,00,00,
1242949,000000A7,false,Rx,0,8,5B,E3,1F,7C,FD,C1,07,1F,
1242962,000000A8,false,Rx,0,8,76,03,BF,58,7E,64,00,00,
1243339,00000641,false,Rx,0,8,B8,21,2B,58,14,14,E4,52,
1244344,00000130,false,Rx,0,8,FE,81,27,00,08,00,04,00,
1244373,00000380,false,Rx,0,8,0E,08,40,00,00,00,00,FF,
1264921,00000120,false,Rx,0,8,8D,0A,00,00,01,04,FF,01,
1264956,00000121,false,Rx,0,8,4F,0A,00,00,10,66,7E,FE,
1264973,00000108,false,Rx,0,8,BE,1E,D2,26,56,FE,00,00,
1264986,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1264999,00000101,false,Rx,0,8,1D,0B,84,FB,A1,05,40,00,
1265013,00000106,false,Rx,0,8,85,8B,65,00,00,00,E5,10,
1265026,0000011E,false,Rx,0,8,29,0B,00,00,00,00,00,00,
1265039,0000031B,false,Rx,0,8,08,0A,00,00,00,00,00,00,
1273710,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1273735,000000FD,false,Rx,0,8,09,DB,1F,80,00,00,00,00,
1273751,00000104,false,Rx,0,8,F2,3B,A6,00,E6,00,00,31,
1273764,00000116,false,Rx,0,8,94,0B,01,04,00,00,00,FF,
1273778,17330710,true,Rx,0,3,31,CF,00,00,00,00,00,00,
1273795,0000011D,false,Rx,0,8,8A,0C,00,00,00,00,00,00,
1273808,00000086,false,Rx,0,8,3A,07,27,00,00,00,00,00,
1273821,0000009F,false,Rx,0,8,43,37,17,00,01,1E,00,40,
1283735,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1283759,00000101,false,Rx,0,8,0E,0C,84,FB,A1,05,40,00,
1283772,00000106,false,Rx,0,8,62,8C,64,00,00,00,E5,10,
1283785,0000011E,false,Rx,0,8,3A,0C,00,00,00,00,00,00,
1283799,0000032A,false,Rx,0,8,B1,0C,00,00,44,04,00,00,
1283812,00000086,false,Rx,0,8,78,08,27,00,00,00,00,00,
1283914,0000009F,false,Rx,0,8,01,38,17,00,01,1E,00,40,
1283927,000003DB,false,Rx,0,8,50,80,00,00,04,20,01,6E,
1294038,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1294062,000000FD,false,Rx,0,8,90,DC,1F,80,00,00,00,00,
1294205,00000104,false,Rx,0,8,E1,3C,A6,00,E6,00,00,31,
1294218,00000116,false,Rx,0,8,87,0C,01,04,00,00,00,FF,
1294231,00000392,false,Rx,0,8,26,25,00,00,00,00,00,04,
1294245,0000011D,false,Rx,0,8,EE,0D,00,00,00,00,00,00,
1294258,00000086,false,Rx,0,8,1C,09,27,00,00,00,00,00,
1294271,0000009F,false,Rx,0,8,65,39,17,00,01,1E,00,40,
1304068,000000A7,false,Rx,0,8,4D,E8,1F,7C,FD,C1,07,1F,
1304099,000000A8,false,Rx,0,8,B7,08,BF,58,7E,64,00,00,
1304113,0000011B,false,Rx,0,8,00,00,00,00,00,00,00,00,
1304245,00000120,false,Rx,0,8,FB,0C,00,00,01,04,FF,01,
1304258,00000121,false,Rx,0,8,21,0C,00,00,10,66,7E,FE,
1304271,000003E5,false,Rx,0,8,F7,17,00,00,00,00,00,00,
1304284,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1304297,00000391,false,Rx,0,8,00,37,29,00,00,28,00,02,
1312996,000003BE,false,Rx,0,8,3B,2B,E7,01,42,80,00,80,
1313024,00000106,false,Rx,0,8,F2,8D,65,00,00,00,E5,10,
1313040,0000011E,false,Rx,0,8,5E,0D,00,00,00,00,00,00,
1313053,0000009F,false,Rx,0,8,C9,3A,17,00,01,1E,00,40,
1313066,00000086,false,Rx,0,8,B0,0A,27,00,00,00,00,00,
1313079,000001AB,false,Rx,0,8,4A,04,00,02,00,00,04,00,
1313092,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
1313105,00000117,false,Rx,0,8,88,07,00,40,68,00,00,FF,
1324225,00000086,false,Rx,0,8,D4,0B,27,00,00,00,00,00,
1324260,0000009F,false,Rx,0,8,AD,3B,17,00,01,1E,00,40,
1324277,1B000013,true,Rx,0,8,13,00,04,01,01,00,00,00,
1324290,0000012E,false,Rx,0,8,05,E8,7F,00,FE,00,C0,FF,
1324303,00000040,false,Rx,0,8,EA,04,00,00,C1,00,00,00,
1324316,000000A7,false,Rx,0,8,9B,EA,1F,7C,FD,C1,07,1F,
1332108,000000A8,false,Rx,0,8,9A,0A,BF,58,7E,64,00,00,
1332165,000000B1,false,Rx,0,8,D9,22,00,00,00,00,00,00,
1332179,00000120,false,Rx,0,8,4B,0D,00,00,01,04,FF,01,
1332194,17330A10,true,Rx,0,4,32,A0,00,01,00,00,00,00,
1332207,00000121,false,Rx,0,8,32,0D,00,00,10,66,7E,FE,
1332220,000003C8,false,Rx,0,8,00,00,54,24,00,12,00,49,
1332233,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1332246,00000101,false,Rx,0,8,C6,0E,84,FB,A1,05,40,00,
1342420,000003EC,false,Rx,0,8,C1,00,00,00,00,08,00,00,
1342434,000000AD,false,Rx,0,8,6A,E6,BF,FF,00,14,00,00,
1342448,00000117,false,Rx,0,8,CA,08,00,40,68,00,00,FF,
1342461,00000365,false,Rx,0,8,8B,C0,00,00,80,02,00,7A,
1342474,0000030B,false,Rx,0,8,10,03,02,00,08,00,00,00,
1342487,000000A7,false,Rx,0,8,F5,EB,1F,7C,FD,C1,07,1F,
1342500,000000A8,false,Rx,0,8,57,0B,BF,58,7E,64,00,00,
1342572,00000380,false,Rx,0,8,6A,09,40,00,00,00,00,FF,
1352917,000002B7,false,Rx,0,8,BC,04,00,00,00,00,00,00,
1352932,000000A7,false,Rx,0,8,BA,ED,1F,7C,FD,C1,07,1F,
1353049,000000A8,false,Rx,0,8,5A,0D,BF,58,7E,64,00,00,
1353062,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1353075,000000FD,false,Rx,0,8,71,DF,1F,80,00,00,00,00,
1353088,00000104,false,Rx,0,8,4D,3F,A6,00,E6,00,00,31,
1353101,00000116,false,Rx,0,8,2B,0F,01,04,00,00,00,FF,
1353114,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
1363382,00000120,false,Rx,0,8,F5,0F,00,00,01,04,FF,01,
1363406,00000121,false,Rx,0,8,17,0F,00,00,10,66,7E,FE,
1363420,00000108,false,Rx,0,8,50,12,D2,26,56,FE,00,00,
1363433,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1363446,00000101,false,Rx,0,8,E0,00,84,FB,A1,05,40,00,
1363459,00000106,false,Rx,0,8,8C,80,64,00,00,00,E5,10,
1363472,0000011E,false,Rx,0,8,D4,00,00,00,00,00,00,00,
1363485,0000031B,false,Rx,0,8,FE,0C,00,00,00,00,00,00,
1373450,00000520,false,Rx,0,8,20,05,00,08,00,0A,00,00,
1373476,00000584,false,Rx,0,6,15,05,00,00,00,00,00,00,
1373490,16A9540A,true,Rx,0,8,00,10,00,41,00,00,00,00,
1373504,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1373517,000000FD,false,Rx,0,8,0B,D0,1F,80,00,00,00,00,
1373530,00000104,false,Rx,0,8,0F,30,A6,00,E6,00,00,31,
1373543,000005F0,false,Rx,0,8,64,00,64,00,00,64,00,00,
1373556,00000116,false,Rx,0,8,69,00,01,04,00,00,00,FF,
1384287,1B000010,true,Rx,0,8,10,00,04,05,09,00,00,00,
1384311,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1387018,00000101,false,Rx,0,8,84,01,84,FB,A1,05,40,00,
1387043,00000106,false,Rx,0,8,E8,81,64,00,00,00,E5,10,
1387057,0000011E,false,Rx,0,8,B0,01,00,00,00,00,00,00,
1387193,0000032A,false,Rx,0,8,79,0E,00,00,44,04,00,00,
1387221,00000086,false,Rx,0,8,E1,02,27,00,00,00,00,00,
1387234,0000009F,false,Rx,0,8,98,32,17,00,01,1E,00,40,
1387247,000003DB,false,Rx,0,8,50,80,00,00,04,20,01,6E,
1387260,00000117,false,Rx,0,8,66,0B,00,40,68,00,00,FF,
1397304,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1398992,000000FD,false,Rx,0,8,01,D1,1F,80,00,00,00,00,
1399012,00000104,false,Rx,0,8,6B,31,A6,00,E6,00,00,31,
1399162,00000116,false,Rx,0,8,0D,01,01,04,00,00,00,FF,
1399175,00000392,false,Rx,0,8,8A,26,00,00,00,00,00,04,
1399188,0000011D,false,Rx,0,8,AC,02,00,00,00,00,00,00,
1399201,00000086,false,Rx,0,8,85,03,27,00,00,00,00,00,
1399214,0000009F,false,Rx,0,8,FC,33,17,00,01,1E,00,40,
1399227,00000668,false,Rx,0,8,82,00,00,00,00,00,00,00,
1399321,00000120,false,Rx,0,8,CA,01,00,00,01,04,FF,01,
1409208,00000121,false,Rx,0,8,B5,01,00,00,10,66,7E,FE,
1409221,000003E5,false,Rx,0,8,5A,18,00,00,00,00,00,00,
1411515,00000391,false,Rx,0,8,00,37,29,00,00,28,00,02,
1411532,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1411545,000003BE,false,Rx,0,8,BE,2C,E7,01,42,80,00,80,
1411558,00000101,false,Rx,0,8,28,02,84,FB,A1,05,40,00,
1411571,00000106,false,Rx,0,8,B0,82,65,00,00,00,E5,10,
1411584,0000011E,false,Rx,0,8,1C,02,00,00,00,00,00,00,
1411597,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
1411610,00000086,false,Rx,0,8,96,04,27,00,00,00,00,00,
1423018,000000A7,false,Rx,0,8,61,E4,1F,7C,FD,C1,07,1F,
1423043,000000A8,false,Rx,0,8,DA,04,BF,58,7E,64,00,00,
1423056,000000B1,false,Rx,0,8,E8,23,00,00,00,00,00,00,
1423069,00000120,false,Rx,0,8,32,02,00,00,01,04,FF,01,
1423083,00000121,false,Rx,0,8,3A,02,00,00,10,66,7E,FE,
1423096,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1423109,000003C8,false,Rx,0,8,00,00,54,24,00,12,00,49,
1423122,00000101,false,Rx,0,8,4C,03,84,FB,A1,05,40,00,
1431395,00000086,false,Rx,0,8,5E,06,27,00,00,00,00,00,
1431429,000000AD,false,Rx,0,8,48,E0,BF,FF,00,14,00,00,
1431444,00000117,false,Rx,0,8,11,0D,00,40,68,00,00,FF,
1431457,00000365,false,Rx,0,8,8B,C0,00,00,80,02,00,7A,
1431470,0000030B,false,Rx,0,8,10,05,02,00,08,00,00,00,
1431484,000000A7,false,Rx,0,8,1A,E5,1F,7C,FD,C1,07,1F,
1431497,000000A8,false,Rx,0,8,B0,05,BF,58,7E,64,00,00,
1431510,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1443919,000000A7,false,Rx,0,8,89,E6,1F,7C,FD,C1,07,1F,
1443946,000000A8,false,Rx,0,8,80,06,BF,58,7E,64,00,00,
