Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
130145450,1B000010,true,Rx,0,8,10,00,01,05,24,00,00,00,
130151438,00000668,false,Rx,0,8,02,00,00,00,00,FF,00,00,
130155438,000003E5,false,Rx,0,8,3A,10,00,00,00,00,00,00,
130155455,000006AE,false,Rx,0,4,00,00,10,00,00,00,00,00,
130167442,000003EC,false,Rx,0,8,F7,00,00,00,00,00,00,00,
130171442,16A9540A,true,Rx,0,8,00,10,00,41,00,00,00,00,
130188481,00000395,false,Rx,0,8,18,0D,00,06,FE,FF,FF,0C,
130190499,00000365,false,Rx,0,8,00,C4,00,00,00,0F,94,FE,
130190517,0000030B,false,Rx,0,8,10,05,00,00,08,00,00,00,
130197442,000003DB,false,Rx,0,8,5B,00,00,00,83,20,00,6E,
130207442,000006B2,false,Rx,0,8,71,FE,FF,0F,00,00,00,C0,
130217443,1B000012,true,Rx,0,8,12,00,01,01,00,00,00,00,
130225486,000006B4,false,Rx,0,8,01,5A,5A,5A,41,55,5A,48,
130230439,000003C0,false,Rx,0,4,23,02,00,00,00,00,00,00,
130239443,00000365,false,Rx,0,8,00,C4,00,00,00,0F,94,FE,
130241633,0000030B,false,Rx,0,8,10,06,00,00,08,00,00,00,
130255450,000003E5,false,Rx,0,8,7B,11,00,00,00,00,00,00,
130271438,16A9540A,true,Rx,0,8,00,10,00,41,00,00,00,00,
130273258,17332610,true,Rx,0,4,40,00,01,05,00,00,00,00,
130273275,1B000013,true,Rx,0,8,13,00,01,00,08,00,00,00,
130283445,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
130283480,00000101,false,Rx,0,8,C2,70,7F,00,A2,00,00,00,
130283494,00000106,false,Rx,0,8,56,80,64,00,02,04,E5,00,
130287650,0000011E,false,Rx,0,8,BF,00,00,00,00,00,E0,FF,
130287675,17330710,true,Rx,0,8,01,C2,03,01,07,00,04,02,
130287816,17332610,true,Rx,0,8,09,82,03,00,26,00,03,02,
130291738,00000395,false,Rx,0,8,18,07,00,06,FE,FF,FF,0C,
130291763,00000365,false,Rx,0,8,00,C4,00,00,00,0F,94,FE,
130291777,0000030B,false,Rx,0,8,10,07,00,00,08,00,00,00,
130295939,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
130295961,000000FD,false,Rx,0,8,0B,D0,1F,80,00,00,00,00,
130295975,00000104,false,Rx,0,8,0F,30,A6,00,E6,00,00,31,
130295988,00000116,false,Rx,0,8,69,F0,FD,F7,DF,7F,FF,AF,
130300245,000003DB,false,Rx,0,8,5B,00,00,00,83,20,00,6E,
130300270,0000032A,false,Rx,0,8,EE,01,00,00,80,04,00,00,
130300284,00000086,false,Rx,0,8,4D,01,27,00,00,00,00,00,
130300298,0000009F,false,Rx,0,8,B6,31,17,00,01,00,00,40,
130300311,0000011D,false,Rx,0,8,00,01,00,00,00,00,00,00,
130304774,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
130304797,00000101,false,Rx,0,8,A6,71,7F,00,A2,00,00,00,
130304936,00000106,false,Rx,0,8,32,81,64,00,02,04,E5,00,
130304949,0000011E,false,Rx,0,8,DB,01,00,00,00,00,E0,FF,
130309971,0000009F,false,Rx,0,8,1A,32,17,00,01,00,00,40,
