Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1139186,1B000010,true,Rx,0,8,10,00,04,05,09,00,00,00,
1139200,00000381,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,6F,
1139213,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,6F,
1149833,00000108,false,Rx,0,8,BF,1B,CE,24,58,FE,00,00,
1149868,000003C0,false,Rx,0,4,74,00,03,00,00,00,00,00,
1149881,00000584,false,Rx,0,6,3E,00,00,00,00,00,00,00,
1149894,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1149907,000000FD,false,Rx,0,8,09,DE,1F,80,00,00,20,00,
1149921,000005F0,false,Rx,0,8,64,E4,64,00,00,64,00,00,
1149934,00000104,false,Rx,0,8,B3,3E,A6,00,E6,00,02,00,
1149947,00000116,false,Rx,0,8,4F,0E,B6,43,FA,6F,71,FF,
1160356,0000011D,false,Rx,0,8,B9,01,00,C8,00,00,00,00,
1160522,00000086,false,Rx,0,8,52,01,1C,00,00,00,00,00,
1160539,0000009F,false,Rx,0,8,37,31,10,00,03,24,00,40,
1160552,000000A7,false,Rx,0,8,68,6F,A0,81,FD,19,B8,3E,
1160565,000000A8,false,Rx,0,8,59,BF,3E,58,82,64,58,0D,
1160579,00000117,false,Rx,0,8,66,0B,00,40,68,00,00,FF,
1160592,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1160605,000000FD,false,Rx,0,8,9E,DF,1F,80,00,00,20,00,
1166378,00000120,false,Rx,0,8,3F,00,00,00,01,04,FF,01,
1166409,00000121,false,Rx,0,8,D5,00,00,00,38,55,7E,FE,
1166422,0000012E,false,Rx,0,8,72,EC,7F,00,FE,00,C0,FF,
1166435,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1167341,00000101,false,Rx,0,8,1F,00,7D,00,A2,0E,40,00,
1167355,00000106,false,Rx,0,8,6F,80,65,00,08,00,F2,39,
1167368,0000011E,false,Rx,0,8,D4,00,00,00,00,00,00,00,
1167391,0000030D,false,Rx,0,4,00,01,00,00,00,00,00,00,
1190829,0000009F,false,Rx,0,8,EC,34,10,00,03,24,00,40,
1190988,00000086,false,Rx,0,8,89,04,1C,00,00,00,00,00,
1191004,000000A7,false,Rx,0,8,5D,62,A0,81,FD,19,B8,3E,
1191017,000000A8,false,Rx,0,8,A7,B2,3E,58,82,64,58,0D,
1191030,00000120,false,Rx,0,8,CA,01,00,00,01,04,FF,01,
1191043,00000121,false,Rx,0,8,B9,01,00,00,38,55,7E,FE,
1191057,0000030B,false,Rx,0,8,10,01,02,00,08,00,00,00,
1191069,0000012E,false,Rx,0,8,58,ED,7F,00,FE,00,C0,FF,
1201460,00000117,false,Rx,0,8,11,0D,00,40,68,00,00,FF,
1201483,00000040,false,Rx,0,8,30,02,00,00,C0,00,00,00,
1201496,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1201509,000000FD,false,Rx,0,8,EE,D1,1F,80,00,00,20,00,
