Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8602725,0000011D,false,Rx,0,8,06,05,00,C8,00,00,00,00,
8602738,0000012E,false,Rx,0,8,85,EF,7F,00,FE,00,C0,FF,
8613717,000000A7,false,Rx,0,8,9F,68,E0,81,FE,1D,D8,3E,
8613747,000000A8,false,Rx,0,8,89,D8,DE,18,88,64,F8,10,
8613761,00000120,false,Rx,0,8,B6,04,00,00,01,04,FF,01,
8613774,00000121,false,Rx,0,8,1C,04,00,40,35,6F,7E,FE,
8613787,0000009F,false,Rx,0,8,83,3A,17,00,03,1B,00,40,
8613800,00000086,false,Rx,0,8,B0,0A,27,00,00,00,00,00,
8613814,00000117,false,Rx,0,8,D9,0F,00,40,68,00,00,FF,
8613827,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
8624865,000002B7,false,Rx,0,8,DC,00,00,00,00,00,00,00,
8624895,0000011D,false,Rx,0,8,AA,06,00,C8,00,00,00,00,
8624912,00000086,false,Rx,0,8,D4,0B,27,00,00,00,00,00,
8624925,0000009F,false,Rx,0,8,E7,3B,17,00,03,1B,00,40,
8624938,0000012E,false,Rx,0,8,AC,E0,7F,00,FE,00,C0,FF,
8624951,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
8624964,000000FD,false,Rx,0,8,B7,D5,1F,80,00,00,00,00,
8624977,00000104,false,Rx,0,8,D4,35,A6,00,E6,00,00,31,
8634225,00000108,false,Rx,0,8,01,1A,D2,26,56,FE,00,00,
8634252,0000009F,false,Rx,0,8,F4,3C,17,00,03,1B,00,40,
8636883,00000086,false,Rx,0,8,C7,0C,27,00,00,00,00,00,
8636911,00000117,false,Rx,0,8,9B,00,00,40,68,00,00,FF,
8636925,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
8637031,00000101,false,Rx,0,8,5C,06,84,FB,A1,0E,40,00,
8637044,00000106,false,Rx,0,8,2E,86,65,00,08,00,93,10,
8637074,0000011E,false,Rx,0,8,A3,06,00,00,00,00,00,00,
8637087,0000031B,false,Rx,0,8,D3,08,00,00,00,00,00,00,
8637100,000000A7,false,Rx,0,8,27,6B,E0,81,FE,1D,D8,3E,
8646717,00000086,false,Rx,0,8,A3,0D,27,00,00,00,00,00,
8646741,0000009F,false,Rx,0,8,90,3D,17,00,03,1B,00,40,
8646755,0000012E,false,Rx,0,8,A2,E1,7F,00,FE,00,C0,FF,
8646768,00000584,false,Rx,0,6,41,04,00,00,00,00,00,00,
8646781,000005F0,false,Rx,0,8,64,00,64,00,00,64,00,00,
8646794,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
8646807,000000AD,false,Rx,0,8,35,E7,BF,FF,00,14,00,00,
8646820,000000FD,false,Rx,0,8,A5,D6,1F,80,00,00,00,00,
8657023,00000086,false,Rx,0,8,0F,0E,27,00,00,00,00,00,
8657048,0000009F,false,Rx,0,8,3C,3E,17,00,03,1B,00,40,
8657197,00000117,false,Rx,0,8,FF,01,00,40,68,00,00,FF,
8657212,1B000010,true,Rx,0,8,10,00,04,05,09,00,00,00,
