Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
12480677,0000011E,FALSE,Rx,0,8,1C,2,0,0,0,0,0,0
12480927,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12481686,779,FALSE,Rx,0,8,23,2B,E9,0,0,AA,AA,AA
12481981,000000A7,FALSE,Rx,0,8,D8,34,E0,80,FD,11,78,3E
12482215,000000A8,FALSE,Rx,0,8,D1,74,5E,E8,81,64,FC,0D
12482737,0000011B,FALSE,Rx,0,8,0,20,0,0,0,0,0,0
12482987,120,FALSE,Rx,0,8,2B,2,0,2,1,8,FF,1
12483424,121,FALSE,Rx,0,8,F2,2,0,0,3A,59,7E,FE
12484031,668,FALSE,Rx,0,8,82,6,0,48,0,7,7B,1
12484265,0000070F,FALSE,Rx,0,8,10,0D,22,2B,F0,2B,F1,2B
12484499,391,FALSE,Rx,0,8,0E,6F,20,34,0,25,0,22
12484851,000003BE,FALSE,Rx,0,8,C6,17,E6,1,C8,80,0,80
12485101,117,FALSE,Rx,0,8,53,2,0,40,68,0,0,FF
12485657,0000009F,FALSE,Rx,0,8,B6,36,0,0,0,8,80,40
12485891,86,FALSE,Rx,0,8,A3,6,1,0,0,0,0,0
12487962,000000AD,FALSE,Rx,0,8,F7,EA,BF,FF,0,14,0,0
12489060,134,FALSE,Rx,0,8,0,0,0,0,0,40,1F,7D
12490005,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12490256,000000FD,FALSE,Rx,0,8,CE,D2,1F,80,0,0,0,0
12490490,104,FALSE,Rx,0,8,C7,32,A6,0,E6,0,0,31
12490724,108,FALSE,Rx,0,8,CB,11,34,D0,63,8C,0,0
12490975,116,FALSE,Rx,0,8,56,2,1,4,0,40,0,FF
12491225,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12491459,392,FALSE,Rx,0,8,1B,23,FE,FE,FE,0,0,4
12492066,000000A7,FALSE,Rx,0,8,A3,35,E0,80,FD,11,78,3E
12492317,000000A8,FALSE,Rx,0,8,BB,75,5E,E8,81,64,FC,0D
12492838,779,FALSE,Rx,0,8,30,0F,0A,AA,AA,AA,AA,AA
12494750,0000070F,FALSE,Rx,0,8,21,F3,2B,E6,2B,E7,2B,E9
12495526,000003C0,FALSE,Rx,0,4,0E,7,3,0,0,0,0,0
12495759,86,FALSE,Rx,0,8,C7,7,1,0,0,0,0,0
12496010,0000009F,FALSE,Rx,0,8,D2,37,0,0,0,8,80,40
12496243,0000011D,FALSE,Rx,0,8,62,4,0,C8,0,0,0,0
12499492,380,FALSE,Rx,0,8,97,2,40,0,0,0,0,FF
12499946,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12500180,101,FALSE,Rx,0,8,8B,3,7E,10,82,0C,40,0
12500431,106,FALSE,Rx,0,8,B0,83,64,0,0,0,FD,10
12500681,0000011E,FALSE,Rx,0,8,78,3,0,0,0,0,0,0
12500931,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12501182,000001AB,FALSE,Rx,0,8,DC,0C,0,2,0,0,4,0
12501348,0000030D,FALSE,Rx,0,4,4,0,0,0,0,0,0,0
12502158,000000A7,FALSE,Rx,0,8,30,36,E0,80,FD,11,78,3E
12502425,000002B7,FALSE,Rx,0,8,54,0B,0,0,0,0,0,FE
12502675,000000A8,FALSE,Rx,0,8,8B,76,5E,E8,81,64,FC,0D
12503130,120,FALSE,Rx,0,8,F9,3,0,2,1,8,FF,1
12503398,121,FALSE,Rx,0,8,0,3,0,0,3A,59,7E,FE
12504310,381,FALSE,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,3F
12504577,382,FALSE,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,3F
12504844,0000048E,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12505112,497,FALSE,Rx,0,8,0,0,0,0,46,44,0,20
12505346,117,FALSE,Rx,0,8,37,3,0,40,68,0,0,FF
12505665,0000009F,FALSE,Rx,0,8,90,38,0,0,0,8,80,40
12505898,86,FALSE,Rx,0,8,85,8,1,0,0,0,0,0
12507199,000006B4,FALSE,Rx,0,8,2,31,30,31,34,32,30,30
12508982,134,FALSE,Rx,0,8,0,0,0,0,0,40,1F,7D
12510013,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12510264,000000FD,FALSE,Rx,0,8,BB,D3,1F,80,0,0,0,0
12510497,104,FALSE,Rx,0,8,A3,33,A6,0,E6,0,0,31
12510747,116,FALSE,Rx,0,8,32,3,1,4,0,40,0,FF
12510998,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12511249,0000018C,FALSE,Rx,0,8,0,20,59,0,0,0,0,0
12511483,000001A2,FALSE,Rx,0,8,C7,1,10,0,E1,6,60,0E
12511734,0000031B,FALSE,Rx,0,8,D1,7,0,0,0,0,0,0
12512018,1B000013,TRUE,Rx,0,8,13,0,4,1,1,0,0,0
12512269,000000A7,FALSE,Rx,0,8,B9,37,E0,80,FD,11,78,3E
12512503,000000A8,FALSE,Rx,0,8,9E,77,5E,E8,81,64,FC,0D
12512771,779,FALSE,Rx,0,8,10,18,62,2B,F0,0,0,2B
12513631,0000070F,FALSE,Rx,0,8,30,20,0,AA,AA,AA,AA,AA
12514661,3.00E+05,FALSE,Rx,0,8,3A,10,0,0,0,0,0,0
12515218,40,FALSE,Rx,0,8,F9,0C,0,44,C1,0,0,0
12515536,108,FALSE,Rx,0,8,67,12,34,D0,63,8C,0,0
12515770,86,FALSE,Rx,0,8,E1,9,1,0,0,0,0,0
12516021,0000009F,FALSE,Rx,0,8,F4,39,0,0,0,8,80,40
12516254,0000011D,FALSE,Rx,0,8,6,5,0,C8,0,0,0,0
12516488,0000032A,FALSE,Rx,0,8,B4,9,0,0,48,2,0,0
12517355,520,FALSE,Rx,0,8,E7,1,0,8,0,0A,0,0A
12517640,0000030B,FALSE,Rx,0,8,10,2B,2,0,0C,0,0,24
12517958,365,FALSE,Rx,0,8,C0,6,11,0,89,2,A8,7A
12518666,395,FALSE,Rx,0,8,14,6,40,0,96,67,7A,1C
12519985,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12520236,101,FALSE,Rx,0,8,DD,4,7E,10,82,0E,40,0
12520470,106,FALSE,Rx,0,8,A3,84,64,0,0,0,FD,10
12520720,0000011E,FALSE,Rx,0,8,6B,4,0,0,0,0,0,0
12520971,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12521696,779,FALSE,Rx,0,8,21,F1,C1,5E,2B,F3,0,E9
