Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9726496,00000106,false,Rx,0,8,AD,8F,65,00,08,00,EF,10,
9726513,0000011E,false,Rx,0,8,96,0F,00,00,00,00,00,00,
9726526,0000030B,false,Rx,0,8,10,0D,02,00,08,00,00,00,
9726539,00000040,false,Rx,0,8,73,0E,00,00,C1,00,00,00,
9726553,00000117,false,Rx,0,8,02,0A,00,40,68,00,00,FF,
9726566,000000A7,false,Rx,0,8,07,8E,20,82,FD,21,A8,3E,
9726579,00000108,false,Rx,0,8,28,15,CF,25,54,FE,00,00,
9726592,000000A8,false,Rx,0,8,DC,AE,1E,98,82,64,94,0D,
9727899,00000121,false,Rx,0,8,5E,0F,00,00,38,57,7E,FE,
9740510,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
9740546,000000FD,false,Rx,0,8,71,DF,1F,80,00,00,00,00,
9740562,00000104,false,Rx,0,8,51,3F,A6,00,E6,00,02,31,
9740575,00000116,false,Rx,0,8,79,0F,08,26,78,9F,7C,FF,
9740588,000003E5,false,Rx,0,8,A3,14,00,00,00,00,00,00,
9740602,0000012E,false,Rx,0,8,D1,EB,7F,00,FE,00,C0,FF,
9740614,000000A7,false,Rx,0,8,D9,8F,20,82,FD,21,A8,3E,
9740628,000000A8,false,Rx,0,8,6B,AF,1E,98,82,64,90,0D,
9750812,000002B7,false,Rx,0,8,57,0E,00,00,00,00,00,00,
9750840,00000117,false,Rx,0,8,66,0B,00,40,68,00,00,FF,
9750855,000000A7,false,Rx,0,8,10,80,20,82,FD,21,A8,3E,
9750868,000000A8,false,Rx,0,8,93,A0,1E,98,82,64,88,0D,
9750881,00000120,false,Rx,0,8,3F,00,00,00,01,04,FF,01,
9750894,00000121,false,Rx,0,8,90,00,00,00,38,57,7E,FE,
9750907,0000009F,false,Rx,0,8,8C,32,1D,80,03,12,00,40,
9750920,00000086,false,Rx,0,8,C2,02,2D,20,00,00,00,00,
9757589,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
9757608,0000012E,false,Rx,0,8,72,EC,7F,00,FE,00,C0,FF,
9757622,000000A7,false,Rx,0,8,98,81,20,82,FD,21,A8,3E,
9757635,000000A8,false,Rx,0,8,A1,A1,1E,98,82,64,84,0D,
9757648,000006B4,false,Rx,0,8,02,57,33,37,32,32,38,33,
9757673,0000011D,false,Rx,0,8,15,02,00,C8,00,00,00,00,
9757686,00000086,false,Rx,0,8,A6,03,2D,20,00,00,00,00,
9758349,0000009F,false,Rx,0,8,E8,33,1D,80,03,12,00,40,
9770151,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
9770184,00000101,false,Rx,0,8,53,01,7E,F1,A1,0A,40,00,
9770200,00000106,false,Rx,0,8,8B,81,65,00,08,00,EF,10,
9770213,0000011E,false,Rx,0,8,B0,01,00,00,00,00,00,00,
9770297,0000031B,false,Rx,0,8,46,06,00,00,00,38,15,00,
9770310,000000AD,false,Rx,0,8,88,ED,BF,FF,8F,20,00,10,
9777810,00000117,false,Rx,0,8,75,0C,00,40,68,00,00,FF,
9777840,000000A7,false,Rx,0,8,EC,82,20,82,FD,21,A8,3E,
9777854,000000A8,false,Rx,0,8,75,A2,1E,98,82,64,80,0D,
9777867,00000365,false,Rx,0,8,C1,C6,17,40,8E,02,AC,7A,
9777881,00000120,false,Rx,0,8,CA,01,00,00,01,04,FF,01,
9777906,00000121,false,Rx,0,8,FC,01,00,00,38,57,7E,FE,
9777919,0000032A,false,Rx,0,8,0E,08,00,00,44,04,00,00,
9777932,00000086,false,Rx,0,8,B5,04,2D,20,00,00,00,00,
9784720,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
9784740,00000101,false,Rx,0,8,BA,02,7E,F1,A1,08,40,00,
9784754,00000106,false,Rx,0,8,27,82,65,00,08,00,EF,10,
9784767,0000011E,false,Rx,0,8,1C,02,00,00,00,00,00,00,
9784780,00000380,false,Rx,0,8,79,0E,40,00,00,00,00,FF,
9784793,000003EC,false,Rx,0,8,C1,00,00,00,00,08,01,00,
9793524,00000117,false,Rx,0,8,11,0D,00,40,68,00,00,FF,
9793551,000000A7,false,Rx,0,8,4E,84,60,82,FD,21,A8,3E,
9793655,000000A8,false,Rx,0,8,4D,A4,1E,98,82,64,7C,0D,
9793668,0000011B,false,Rx,0,8,00,20,00,00,00,00,00,00,
9793681,00000120,false,Rx,0,8,32,02,00,00,01,04,FF,01,
9793694,00000121,false,Rx,0,8,73,02,00,00,38,57,7E,FE,
9793707,0000009F,false,Rx,0,8,33,36,1D,80,03,12,00,40,
9793720,00000086,false,Rx,0,8,7D,06,2D,20,00,00,00,00,
9804112,000002B7,false,Rx,0,8,FE,0F,00,00,00,00,00,00,
9804147,0000012E,false,Rx,0,8,82,EE,7F,00,FE,00,C0,FF,
9804162,000000A7,false,Rx,0,8,BF,85,60,82,FD,25,A8,3E,
9804175,000000A8,false,Rx,0,8,1F,A5,1E,98,82,64,78,0D,
9804188,0000011D,false,Rx,0,8,62,04,00,C8,00,00,00,00,
9804201,00000086,false,Rx,0,8,19,07,2D,20,00,00,00,00,
9804214,0000009F,false,Rx,0,8,57,37,1D,80,03,12,00,40,
9804227,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
9813305,00000118,false,Rx,1,4,00,0C,0D,12,00,00,00,00,
9814066,00000117,false,Rx,0,8,BD,0E,00,40,68,00,00,FF,
9814082,000000A7,false,Rx,0,8,2C,86,60,82,FD,25,A8,3E,
9814096,000000A8,false,Rx,0,8,2F,A6,1E,98,82,64,78,0D,
9814109,00000120,false,Rx,0,8,E0,03,00,00,01,04,FF,01,
9814122,00000121,false,Rx,0,8,81,03,00,00,38,57,7E,FE,
9814135,0000009F,false,Rx,0,8,A0,38,1D,80,03,13,00,40,
9814148,00000086,false,Rx,0,8,5B,08,2D,20,00,00,00,00,
9814162,000000B1,false,Rx,0,8,76,26,00,00,00,00,00,00,
9824188,000003DB,false,Rx,0,8,50,00,01,00,04,20,01,6E,
9824212,000000AD,false,Rx,0,8,B4,E2,BF,FF,8F,20,00,10,
9824225,000000A7,false,Rx,0,8,A5,87,60,82,FD,25,A8,3E,
9824239,0000012E,false,Rx,0,8,85,EF,7F,00,FE,00,C0,FF,
9824252,000000A8,false,Rx,0,8,3A,A7,1E,98,82,64,78,0D,
9824265,00000365,false,Rx,0,8,C1,C6,17,40,90,02,AC,7A,
9824278,0000032A,false,Rx,0,8,6A,09,00,00,44,04,00,00,
9824291,00000086,false,Rx,0,8,3F,09,2D,20,00,00,00,00,
9828386,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
