Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1664099,00000380,false,Rx,0,8,C6,0A,40,00,00,00,00,FF,
1673959,00000086,false,Rx,0,8,62,06,16,20,00,00,00,00,
1673973,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1673986,000000A7,false,Rx,0,8,DA,15,60,80,FD,05,A8,3E,
1673999,000000A8,false,Rx,0,8,53,A5,FE,17,81,64,4C,0E,
1674012,00000101,false,Rx,0,8,83,03,84,FB,A1,03,40,00,
1674025,00000106,false,Rx,0,8,4F,83,C5,04,08,00,F7,30,
1674038,0000011E,false,Rx,0,8,78,03,00,00,00,00,00,00,
1674051,0000012E,false,Rx,0,8,82,EE,7F,00,FE,00,C0,FF,
1682704,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1682735,000000A7,false,Rx,0,8,49,16,60,80,FD,05,A8,3E,
1682868,000000A8,false,Rx,0,8,CB,A6,FE,17,81,64,50,0E,
1682881,000000FD,false,Rx,0,8,BB,D3,1F,80,00,00,00,00,
1682894,00000497,false,Rx,0,8,00,60,00,00,64,46,00,20,
1682908,00000104,false,Rx,0,8,A3,33,A6,00,E6,00,00,31,
1682921,00000120,false,Rx,0,8,E0,03,00,00,01,04,FF,01,
1682934,00000116,false,Rx,0,8,C5,03,01,04,00,00,00,FF,
1693630,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1693654,000000A7,false,Rx,0,8,C0,17,60,80,FD,05,A8,3E,
1693668,000000A8,false,Rx,0,8,E6,A7,FE,17,81,64,54,0E,
1693740,00000101,false,Rx,0,8,EE,04,84,FB,A1,09,40,00,
1693754,00000106,false,Rx,0,8,5C,84,C5,04,08,00,F7,30,
1693767,0000011E,false,Rx,0,8,6B,04,00,00,00,00,00,00,
1693780,0000031B,false,Rx,0,8,BC,04,00,00,00,00,00,00,
1693793,0000012E,false,Rx,0,8,85,EF,7F,00,FE,00,C0,FF,
1705552,000003C0,false,Rx,0,4,80,0E,03,00,00,00,00,00,
1705707,000000AD,false,Rx,0,8,E3,E3,BF,FF,00,14,00,00,
1705723,00000584,false,Rx,0,6,43,0F,00,00,00,00,00,00,
1705736,00000365,false,Rx,0,8,C1,C6,18,40,8E,02,AC,7A,
1705799,000005F0,false,Rx,0,8,64,00,64,00,00,64,00,00,
1705812,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1705825,000000FD,false,Rx,0,8,2D,D4,1F,80,00,00,00,00,
1705838,00000040,false,Rx,0,8,DF,0D,00,00,C1,00,00,00,
1716642,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1716673,000000A7,false,Rx,0,8,CE,19,20,80,FD,01,A8,3E,
1716689,000000A8,false,Rx,0,8,C6,A9,FE,17,81,64,5C,0E,
1716702,00000101,false,Rx,0,8,3F,05,84,FB,A1,08,40,00,
1716715,00000106,false,Rx,0,8,38,85,C5,04,08,00,F7,30,
1716728,0000011E,false,Rx,0,8,0F,05,00,00,00,00,00,00,
1716742,0000012E,false,Rx,0,8,AC,E0,7F,00,FE,00,C0,FF,
1716755,0000011D,false,Rx,0,8,AA,06,00,C8,00,00,00,00,
1727377,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1727531,000000A7,false,Rx,0,8,C8,1A,20,80,FD,01,A8,3E,
1727546,000000A8,false,Rx,0,8,DE,AA,FE,17,81,64,60,0E,
1727559,000000FD,false,Rx,0,8,B7,D5,1F,80,00,00,00,00,
1727573,00000104,false,Rx,0,8,D4,35,A6,00,E6,00,00,31,
1727586,0000011B,false,Rx,0,8,00,20,00,00,00,00,00,00,
1727599,00000116,false,Rx,0,8,B2,05,01,04,00,00,00,FF,
1727623,00000120,false,Rx,0,8,B4,05,00,00,01,04,FF,01,
1739176,00000106,false,Rx,0,8,94,86,C5,04,08,00,F7,30,
1739206,0000011E,false,Rx,0,8,A3,06,00,00,00,00,00,00,
1739221,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
1739234,0000012E,false,Rx,0,8,A2,E1,7F,00,FE,00,C0,FF,
1739247,0000011D,false,Rx,0,8,CE,07,00,C8,00,00,00,00,
1739260,00000086,false,Rx,0,8,9F,0D,16,20,00,00,00,00,
1739287,0000009F,false,Rx,0,8,33,3D,0F,80,03,25,00,40,
1747746,00000108,false,Rx,0,8,FF,14,D2,26,55,FE,00,00,
1747781,00000668,false,Rx,0,8,82,00,00,29,00,03,72,01,
1747794,00000380,false,Rx,0,8,A2,0B,40,00,00,00,00,FF,
1747947,00000395,false,Rx,0,8,18,05,40,06,B0,43,4D,1C,
1747960,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1747973,000000A7,false,Rx,0,8,19,1C,20,80,FD,01,A8,3E,
1747986,000000A8,false,Rx,0,8,0D,AC,FE,17,81,64,60,0E,
1748012,000000FD,false,Rx,0,8,A5,D6,1F,80,00,00,00,00,
1757615,00000117,false,Rx,0,8,FF,01,00,40,68,00,00,FF,
1757642,000000B1,false,Rx,0,8,ED,29,00,00,00,00,00,00,
1757656,00000086,false,Rx,0,8,33,0E,16,20,00,00,00,00,
1757809,0000009F,false,Rx,0,8,9F,3E,0F,80,03,25,00,40,
1757822,000003C8,false,Rx,0,8,00,00,54,24,00,12,00,4A,
1757835,000000AD,false,Rx,0,8,A2,E8,BF,FF,00,14,00,00,
1757848,00000365,false,Rx,0,8,C1,C6,18,40,8E,02,AC,7A,
1757862,000003E5,false,Rx,0,8,57,1C,00,00,00,00,00,00,
1767920,000000A7,false,Rx,0,8,62,1E,20,80,FD,01,A8,3E,
1767948,000000A8,false,Rx,0,8,AC,AE,FE,17,81,64,60,0E,
1767962,000000FD,false,Rx,0,8,9F,D7,1F,80,00,00,00,00,
1768113,00000104,false,Rx,0,8,1C,37,A6,00,E6,00,00,31,
1768126,00000120,false,Rx,0,8,59,07,00,00,01,04,FF,01,
1768139,00000116,false,Rx,0,8,7A,07,01,04,00,00,00,FF,
1768152,00000121,false,Rx,0,8,F6,07,00,00,39,5A,7E,FE,
1768181,00000117,false,Rx,0,8,53,02,00,40,68,00,00,FF,
1777833,1B000012,true,Rx,0,8,12,00,04,01,11,00,00,00,
1777855,0000012E,false,Rx,0,8,F2,E3,7F,00,FE,00,C0,FF,
1777869,0000011D,false,Rx,0,8,E8,09,00,C8,00,00,00,00,
1777882,00000086,false,Rx,0,8,71,01,16,20,00,00,00,00,
1777895,0000009F,false,Rx,0,8,DD,31,0F,80,03,25,00,40,
1777908,000002B7,false,Rx,0,8,57,0E,00,00,00,00,00,00,
1777921,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1777934,000000A7,false,Rx,0,8,75,10,20,80,FD,01,A8,3E,
1788073,00000104,false,Rx,0,8,5E,38,A6,00,E6,00,00,31,
1788194,00000120,false,Rx,0,8,00,08,00,00,01,04,FF,01,
1788208,00000116,false,Rx,0,8,38,08,01,04,00,00,00,FF,
1788221,00000121,false,Rx,0,8,35,08,00,00,39,5A,7E,FE,
1788234,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
1788247,00000117,false,Rx,0,8,37,03,00,40,68,00,00,FF,
1788260,0000009F,false,Rx,0,8,C4,32,0F,80,03,24,00,40,
1788273,00000086,false,Rx,0,8,DD,02,16,20,00,00,00,00,
1798757,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1798787,000000A7,false,Rx,0,8,FD,11,20,80,FD,01,A8,3E,
1798935,000000A8,false,Rx,0,8,31,A1,FE,17,81,64,60,0E,
1798948,00000101,false,Rx,0,8,D5,09,84,FB,A1,05,40,00,
1798962,00000106,false,Rx,0,8,D6,89,C5,04,08,00,F7,30,
1798975,0000011E,false,Rx,0,8,E1,09,00,00,00,00,00,00,
1798988,0000031B,false,Rx,0,8,31,06,00,00,00,00,00,00,
1799001,0000012E,false,Rx,0,8,D5,E4,7F,00,FE,00,C0,FF,
1811208,00000117,false,Rx,0,8,24,04,00,40,68,00,00,FF,
1811236,0000030B,false,Rx,0,8,10,0E,02,00,08,00,00,00,
1813873,00000086,false,Rx,0,8,AA,04,16,20,00,00,00,00,
1813898,0000009F,false,Rx,0,8,B3,34,0F,80,03,24,00,40,
1813912,0000032A,false,Rx,0,8,0E,08,00,00,44,04,00,00,
1813924,00000108,false,Rx,0,8,53,17,D2,26,55,FE,00,00,
1814026,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1814039,000000A7,false,Rx,0,8,08,13,20,80,FD,01,A8,3E,
1814052,000000A8,false,Rx,0,8,32,A3,FE,17,81,64,60,0E,
1814065,00000101,false,Rx,0,8,79,0A,84,FB,A1,05,40,00,
1824138,000003EC,false,Rx,0,8,C1,00,00,00,00,08,01,00,
1824160,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1824174,000000A7,false,Rx,0,8,32,14,20,80,FD,01,A8,3E,
1824272,000000A8,false,Rx,0,8,A6,A4,FE,17,81,64,64,0E,
1824285,000000FD,false,Rx,0,8,26,DA,1F,80,00,00,00,00,
1824298,00000381,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,DF,
1824311,00000104,false,Rx,0,8,96,3A,A6,00,E6,00,00,31,
1832868,0000011B,false,Rx,0,8,00,20,00,00,00,00,00,00,
1832899,00000116,false,Rx,0,8,F0,0A,01,04,00,00,00,FF,
1832913,00000120,false,Rx,0,8,8D,0A,00,00,01,04,FF,01,
1832926,00000121,false,Rx,0,8,AF,0A,00,00,39,5A,7E,FE,
1832939,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,DF,
1832952,00000392,false,Rx,0,8,00,2B,00,00,00,00,00,04,
1832965,00000117,false,Rx,0,8,40,05,00,40,68,00,00,FF,
1832978,0000009F,false,Rx,0,8,7B,36,0F,80,03,24,00,40,
1842537,000001AB,false,Rx,0,8,AF,05,00,02,00,00,05,00,
1842558,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
1842696,0000012E,false,Rx,0,8,7F,E6,7F,00,FE,00,C0,FF,
1842709,0000011D,false,Rx,0,8,33,0C,00,C8,00,00,00,00,
1842722,00000086,false,Rx,0,8,06,07,16,20,00,00,00,00,
1842735,0000009F,false,Rx,0,8,1F,37,0F,80,03,24,00,40,
1842748,00000108,false,Rx,0,8,11,18,D2,26,55,FE,00,00,
1842761,00000395,false,Rx,0,8,18,0F,40,06,B0,43,4D,1C,
1853467,000000AD,false,Rx,0,8,62,E2,BF,FF,00,14,00,00,
1853494,00000365,false,Rx,0,8,C1,C6,18,40,8E,02,AC,7A,
1853508,000003E5,false,Rx,0,8,63,1D,00,00,00,00,00,00,
1853521,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1853534,000000A7,false,Rx,0,8,53,17,20,80,FD,01,A8,3E,
1853548,00000040,false,Rx,0,8,55,00,00,00,C1,00,00,00,
1853561,000000A8,false,Rx,0,8,99,A7,FE,17,81,64,6C,0E,
1853574,00000101,false,Rx,0,8,FE,0C,84,FB,A1,06,40,00,
1864120,000003DB,false,Rx,0,8,50,80,00,00,04,20,01,6F,
1864144,00000108,false,Rx,0,8,75,19,D2,26,55,FE,00,00,
1864271,00000396,false,Rx,0,8,6B,07,00,11,00,00,00,00,
1864284,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1864297,000000A7,false,Rx,0,8,1E,18,20,80,FD,01,A8,3E,
1864311,000000A8,false,Rx,0,8,83,A8,FE,17,81,64,68,0E,
1871728,000000FD,false,Rx,0,8,90,DC,1F,80,00,00,00,00,
1871757,00000104,false,Rx,0,8,E1,3C,A6,00,E6,00,00,31,
1871770,00000120,false,Rx,0,8,FB,0C,00,00,01,04,FF,01,
1871900,00000116,false,Rx,0,8,87,0C,01,04,00,00,00,FF,
1871913,00000121,false,Rx,0,8,C1,0C,00,00,39,5A,7E,FE,
1871926,00000117,false,Rx,0,8,88,07,00,40,68,00,00,FF,
