Time,Accel Lat (m/s2),Accel Long (m/s2),Airmass (mg/stk),Airmass SP (mg/stk),aMax State (),Ambient Press (kPa),Ambient Temp (°F),Battery Volts (V),Boost (psi),Brake Press (bar),Calc HP (hp),Calc TQ (Nm),Cat Temp (°F),Comb Mode (),Coolant Temp (°F),CPU Load (%),Cruise (),Cyl Shutoff Pat (),DV Position (%),Engine Speed (rpm),EOI Actual (°),EOI Limit (°),Eth Content (%),Exh Flow Fac (),Exhaust Cam (°),Exhaust Cam SP (°),FP DI (bar),FP DI SP (bar),FP MPI (kPa),FP MPI SP (kPa),Fuel Flow HPFP (mg/stk),Fuel Flow LPFP (g/min),Fuel Flow SP (mg/stk),Fuel Level (%),Fuel Split MPI (),Gear (),HPFP Eff Vol (%),IAT (°F),Ign Table Value (°),Ign Timing Avg (°),Inj Duty DI (%),Inj Duty MPI (%),Inj PW DI (ms),Inj PW MPI (ms),Int Flow Fac (),Intake Cam (°),Intake Cam SP (°),Intervention EDS (),Intervention ESP (),Intervention TCS (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Knock NL 1 (V),Knock NL 2 (V),Knock NL 3 (V),Knock NL 4 (V),Knock RNG 1 (V),Knock RNG 2 (V),Knock RNG 3 (V),Knock RNG 4 (V),Knock THD 1 (V),Knock THD 2 (V),Knock THD 3 (V),Knock THD 4 (V),Lambda (λ),Lambda SP (λ),LPFP DC (%),LTFT (%),MAP (kPa),MAP SP (kPa),Misfire Cyl 1 (),Misfire Cyl 2 (),Misfire Cyl 3 (),Misfire Cyl 4 (),Misfire Sum (),Oil Temp (°F),Pedal Pos (%),Port Flap Pos (),Press Ratio (),Press Ratio SP (),PUT (kPa),PUT SP (kPa),SCC Efficiency SP (),SOI Actual (°),SOI Limit (°),Steering Angle (°),STFT (%),TCS Switch Off (),Torque (Nm),Torque Lim (),Torque Max (Nm),Torque Max TCU (),Torque Req (Nm),TPS (°),Trans Temp (°F),Turbine Temp (°F),Turbo Speed (krpm),Valve Lift Pos (),Vehicle Speed (mph),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (mph),Wheel Speed FR (mph),Wheel Speed RL (mph),Wheel Speed RR (mph),(SP) FF AFU Ratio (),(SP) FF IAT Add (),(SP) FF IAT Weight (),(SP) FF Lambda Add (),(SP) FF Lambda Weight (),(SP) FF MPI Add (),(SP) FF MPI Weight (),(SP) FF PUT Add (),(SP) FF PUT Weight (),(SP) FF Spark Add (),(SP) FF Spark Weight (),(SP) FF TQ Add (),(SP) FF TQ Weight (),(SP) LC Active (),(SP) LC Cut Pattern (rpm),(SP) LC Cut Position (rpm),(SP) LC Cut Type (rpm),(SP) LC RPM Limit Soft (rpm),(SP) LC RPM Limit Med (rpm),(SP) LC RPM Limit Hard (rpm),(SP) LC RPM Limit Off (rpm),(SP) MS Lambda Add (),(SP) MS Pops Enabled (),(SP) MS PUT Max (),(SP) MS RPM Set (),(SP) MS Slot (),(SP) MS Spark Add (),(SP) MS Speed Set (),(SP) MS TC Disabled (),(SP) NLS Active (),(SP) NLS Counter (),(SP) NLS Last Clutch (),(SP) NLS Last Clutch 2 (),(SP) RAL Active (),(SP) RAL Counter (),(SP) RAL Filtered N (),(SP) RAL PUT Adder (),(SP) RAL Ramp In (),(SP) RAL Ramp Out (),(SP) RAL RPM (rpm),(SP) TC Active (),(SP) TC Fastest Wheel (km/h),(SP) TC Slowest Wheel (km/h),(SP) TC Wheel Slip (km/h),(SP) TC PID (),(SP) TC P (),(SP) TC I (),(SP) TC D (),(SP) TC Ignition Pull (km/h),(SP) TC Slip Ramp (km/h),(SP) TC Slip Target (km/h),(SP) TC WG Pull (%),state_vcv (),cam_fuel_pump (°),ang_ref_vcv (°),ang_cur_on_vcv (°),ang_cur_off_vcv (°),state_poil_swi_mvb (-),lv_pump_oil_el_sp (-),Clutch 1 Current (mA),Clutch 2 Current (mA),Clutch 1 Press (bar),Clutch 2 Press (bar),Clutch 1 Torque (nm),Clutch 2 Torque (nm),Input Shaft (rpm),Line Current (mA),Axle Speed Delta (kph),Clutch Temp (C),Deg Blockage (%),Pump Current (A),Pump PWM (%),Pump Voltage (V),SimosTools [R1.81:2025_12_21:Aaron-ECU-R48.bin]
541.259,-0.1,0.46875,120.46783,124.922035,0.0,101.72322,49.550003,14.4921875,-10.49907,0.0,0.0,0.0,773.33,0.0,161.6,50.48828,2.0,0.0,0.0,886.0,285.375,25.125,9.803922,0.21728516,-20.375,-24.0,60.024326,60.0031,501.75052,499.89316,0.0,15.258789,8.541496,76.86275,0.0,0.0,14.3966675,67.1,17.625,5.625,1.2957249,0.0,0.808,0.0,0.0,15.0390625,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5049896,0.47187805,0.4361725,0.69007874,0.47729492,0.49682617,0.3894043,0.68725586,1.2890625,1.25,1.1328125,1.6601562,1.0078125,1.0,24.719238,3.125,29.334808,30.101961,0.0,0.0,0.0,0.0,0.0,98.59999,0.0,1.0,0.9978806,1.0,101.50763,101.72322,1.0,289.875,356.625,0.0875,-6.25,0.0,16.9375,0.0,344.6875,1023.96875,6.6875,2.3341267,73.399994,678.4363,20.29419,1.0,0.0,0.0,0.061035156,99.998474,99.998474,3.6914062,0.0,0.0,0.0,0.0,0.1171875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0039,8160.0,3.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.75,161.625,35.25,769.0078,3.0,0.0,0.2,0.2,0.13,0.09,-600.0,-600.0,0.0,797.9,0.0,14.900009,0.3555352,0.039,0.0,0.0,0
541.287,-0.1,0.46875,121.22099,124.83726,0.0,101.73151,49.550003,14.472656,-10.480596,0.0,0.0,0.0,773.33,0.0,161.6,50.48828,2.0,0.0,0.0,886.0,285.375,25.5,9.803922,0.21765137,-20.375,-24.0,60.109234,60.0031,501.48517,499.89316,0.0,14.305115,8.054017,76.86275,0.0,0.0,14.067078,67.1,17.625,4.875,1.2971922,0.0,0.808,0.0,0.0,14.9296875,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5049896,0.47286987,0.4361725,0.69007874,0.47729492,0.49682617,0.37841797,0.68725586,1.2890625,1.25,1.1328125,1.6601562,1.0087891,1.0,24.67041,3.125,29.47047,30.086697,0.0,0.0,0.0,0.0,0.0,98.59999,0.0,1.0,0.99779934,1.0,101.50763,101.73151,1.0,289.875,356.625,0.0875,-5.46875,0.0,16.875,0.0,344.65625,1023.96875,6.6875,2.3341267,73.399994,677.7613,20.306396,1.0,0.0,0.0,0.061035156,99.998474,99.998474,3.6914062,0.0,0.0,0.0,0.0,0.1171875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0039,8160.0,3.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.75,161.625,34.875,769.0078,3.0,0.0,0.2,0.2,0.13,0.09,-600.0,-600.0,0.0,797.9,0.0,14.900009,0.3555352,0.039,0.0,0.0,0
541.317,-0.1,0.46875,121.75662,124.83726,0.0,101.73151,49.550003,14.5703125,-10.466601,0.0,0.0,0.0,773.33,0.0,161.6,50.48828,2.0,0.0,0.0,887.0,285.375,24.375,9.803922,0.21765137,-20.320312,-24.0,60.130463,60.0031,501.48517,499.89316,0.0,14.305115,8.414328,76.86275,0.0,0.0,14.248657,67.1,17.625,4.5,1.2942593,0.0,0.808,0.0,0.0,14.9375,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5049896,0.47286987,0.43373108,0.69007874,0.47729492,0.49682617,0.37841797,0.60302734,1.2890625,1.25,1.1328125,1.6601562,1.0107422,1.0,24.728394,3.125,29.566952,30.11206,0.0,0.0,0.0,0.0,0.0,98.59999,0.0,1.0,0.99779934,1.0,101.50763,101.73151,1.0,289.875,356.625,0.0875,-5.46875,0.0,16.84375,0.0,344.65625,1023.96875,6.6875,2.3341267,73.399994,677.42377,20.269775,1.0,0.0,0.0,0.061035156,99.998474,99.998474,3.6914062,0.0,0.0,0.0,0.0,0.1171875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0039,8160.0,3.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.125,162.0,34.875,769.0078,3.0,0.0,0.2,0.2,0.14,0.15,-600.0,-600.0,0.0,798.1,0.0,14.900009,0.3555352,0.039,0.0,0.0,0
541.344,-0.1,0.5,120.64569,124.58292,0.0,101.72322,49.550003,14.5703125,-10.494423,0.0,0.0,0.0,773.33,0.0,161.6,50.48828,2.0,0.0,0.0,888.0,285.375,24.75,9.803922,0.21759033,-20.3125,-24.0,60.172916,60.0031,500.68918,499.89316,0.0,15.258789,8.562692,76.86275,0.0,0.0,14.282227,67.1,17.625,4.5,1.2971824,0.0,0.808,0.0,0.0,14.78125,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5049896,0.47286987,0.43373108,0.68634033,0.5102539,0.49682617,0.37841797,0.60302734,1.2890625,1.25,1.1328125,1.6601562,1.0117188,1.0,24.700928,3.125,29.366848,30.144444,0.0,0.0,0.0,0.0,0.0,98.59999,0.0,1.0,0.9978806,1.0,101.50763,101.72322,1.0,289.875,356.625,0.0875,-5.46875,0.0,16.5,0.0,344.6875,1023.96875,6.59375,2.3341267,73.399994,677.0863,20.29419,1.0,0.0,0.0,0.061035156,99.998474,99.998474,3.6914062,0.0,0.0,0.0,0.0,0.1171875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0039,8160.0,3.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.75,161.625,34.875,769.0078,3.0,0.0,0.2,0.2,0.14,0.15,-600.0,-600.0,0.0,798.1,0.0,14.900009,0.3555352,0.039,0.0,0.0,0
541.382,-0.1,0.5,121.203415,124.41336,0.0,101.72322,49.550003,14.4921875,-10.479853,0.0,0.0,0.0,773.33,0.0,161.6,50.48828,2.0,0.0,0.0,888.0,285.375,24.375,9.803922,0.21765137,-20.304688,-24.0,60.045555,60.0031,501.75052,499.89316,0.0,14.305115,8.096406,76.86275,0.0,0.0,14.134216,67.1,17.625,4.125,1.2572315,0.0,0.784,0.0,0.0,14.71875,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5052185,0.47286987,0.43373108,0.68634033,0.5102539,0.5432129,0.37841797,0.60302734,1.2890625,1.25,1.1328125,1.6601562,1.0126953,1.0,24.658203,3.125,29.467308,30.113857,0.0,0.0,0.0,0.0,0.0,98.59999,0.0,1.0,0.9978806,1.0,101.50763,101.72322,1.0,289.875,356.625,0.21875,-5.46875,0.0,16.5,0.0,344.65625,1023.96875,6.59375,2.3341267,73.399994,676.6925,20.306396,1.0,0.0,0.0,0.061035156,99.998474,99.998474,3.6914062,0.0,0.0,0.0,0.0,0.1171875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0039,8160.0,3.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.75,161.625,34.875,769.0078,3.0,0.0,0.3,0.2,0.11,0.01,-600.0,-600.0,0.0,797.9,0.0,14.400009,0.3555352,0.039,0.0,0.0,0
541.417,-0.1,0.46875,121.62242,124.41336,0.0,101.72322,49.550003,14.5703125,-10.468906,0.0,0.0,0.0,773.33,0.0,161.6,50.48828,2.0,0.0,0.0,889.0,285.375,24.0,9.803922,0.21765137,-20.296875,-24.0,59.981873,60.0031,500.9545,499.89316,0.0,14.543533,8.4567175,76.86275,0.0,0.0,14.361572,67.1,17.625,3.75,1.2572284,0.0,0.784,0.0,0.0,14.6953125,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5052185,0.47561646,0.43373108,0.68634033,0.5102539,0.5432129,0.5395508,0.60302734,1.2890625,1.25,1.1328125,1.6601562,1.0136719,1.0,24.705505,3.125,29.54278,30.045527,0.0,0.0,0.0,0.0,0.0,98.59999,0.0,1.0,0.9978806,1.0,101.50763,101.72322,1.0,289.875,356.625,0.0875,-5.46875,0.0,16.4375,0.0,344.65625,1023.96875,6.59375,2.3341267,73.399994,676.5238,20.269775,1.0,0.0,0.0,0.061035156,99.998474,99.998474,3.6914062,0.0,0.0,0.0,0.0,0.1171875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0039,8160.0,3.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.75,161.625,34.875,769.0078,3.0,0.0,0.2,0.1,0.14,0.14,-600.0,-600.0,0.0,797.9,0.0,14.900009,0.3555352,0.039,0.0,0.0,0
541.446,-0.1,0.46875,120.62285,124.87965,0.0,101.73151,49.550003,14.550781,-10.496222,0.0,0.0,0.0,773.33,0.0,161.6,50.48828,2.0,0.0,0.0,888.0,285.375,24.375,9.803922,0.2177124,-20.289062,-24.0,60.013714,60.0031,500.42383,499.89316,0.0,15.497208,8.520302,76.86275,0.0,0.0,14.38446,67.1,17.625,4.875,1.2572315,0.0,0.784,0.0,0.0,14.7890625,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5052185,0.47561646,0.43792725,0.68634033,0.5102539,0.5432129,0.5395508,0.8203125,1.2890625,1.25,1.1523438,1.6601562,1.015625,1.0,24.736023,3.125,29.362732,30.197971,0.0,0.0,0.0,0.0,0.0,98.59999,0.0,1.0,0.99779934,1.0,101.50763,101.73151,1.0,289.875,356.625,0.0875,-5.46875,0.0,16.6875,0.0,344.6875,1023.96875,6.6875,2.3341267,73.399994,676.35504,20.29419,1.0,0.0,0.0,0.061035156,99.998474,99.998474,3.6914062,0.0,0.0,0.0,0.0,0.1171875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0039,8160.0,3.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.75,161.625,34.875,769.0078,3.0,0.0,0.2,0.1,0.14,0.14,-600.0,-600.0,0.0,797.9,0.0,14.900009,0.3555352,0.039,0.0,0.0,0
541.484,-0.1,0.46875,121.22926,124.625305,0.0,101.73151,49.550003,14.511719,-10.480379,0.0,0.0,0.0,773.33,0.0,161.6,50.48828,2.0,0.0,0.0,889.0,285.375,24.375,9.803922,0.2177124,-20.28125,-24.0,59.97126,60.0031,501.48517,499.89316,0.0,14.543533,8.223575,76.86275,0.0,0.0,14.23645,67.1,17.625,4.125,1.2586473,0.0,0.784,0.0,0.0,15.0859375,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5052185,0.47561646,0.43792725,0.6916046,0.5090332,0.5432129,0.5395508,0.8203125,1.2890625,1.25,1.1523438,1.6601562,1.015625,1.0,24.676514,3.125,29.471962,30.083685,0.0,0.0,0.0,0.0,0.0,98.59999,0.0,1.0,0.99779934,1.0,101.50763,101.73151,1.0,289.875,356.625,0.0875,-5.46875,0.0,16.53125,0.0,344.65625,1023.96875,6.6875,2.3341267,73.399994,676.13,20.300293,1.0,0.0,0.0,0.061035156,99.998474,99.998474,3.6914062,0.0,0.0,0.0,0.0,0.1171875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0039,8160.0,3.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.75,161.625,34.875,769.0078,3.0,0.0,0.2,0.2,0.04,0.09,-600.0,-600.0,0.0,797.9,0.0,14.900009,0.3555352,0.039,0.0,0.0,0
541.516,-0.1,0.46875,121.38711,124.45575,0.0,101.73151,49.550003,14.53125,-10.476255,0.0,0.0,0.0,773.33,0.0,161.6,50.48828,2.0,0.0,0.0,892.0,285.375,23.625,9.803922,0.2177124,-20.273438,-24.0,59.928806,60.0031,501.21985,499.89316,0.0,14.781952,8.64747,76.86275,0.0,0.0,14.498901,67.1,17.625,3.375,1.2536216,0.0,0.78,0.0,0.0,15.234375,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5053711,0.47561646,0.43792725,0.6916046,0.5090332,0.45043945,0.5395508,0.8203125,1.2890625,1.25,1.1523438,1.6601562,1.0166016,1.0,24.719238,3.125,29.500395,30.035498,0.0,0.0,0.0,0.0,0.0,98.59999,0.0,1.0,0.99779934,1.0,101.50763,101.73151,1.0,289.875,356.625,0.0875,-5.46875,0.0,16.1875,0.0,344.6875,1023.96875,6.5,2.3341267,73.399994,676.29877,20.281982,1.0,0.0,0.0,0.061035156,99.998474,99.998474,3.6914062,0.0,0.0,0.0,0.0,0.1171875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0039,8160.0,3.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.75,161.625,35.25,769.0078,3.0,0.0,0.2,0.2,0.04,0.09,-600.0,-600.0,0.0,797.9,0.0,14.900009,0.3555352,0.039,0.0,0.0,0
541.546,-0.1,0.46875,120.786766,124.49814,0.0,101.72322,49.550003,14.550781,-10.490738,0.0,0.0,0.0,773.33,0.0,161.6,50.48828,2.0,0.0,0.0,893.0,285.375,23.625,10.588236,0.21765137,-20.3125,-24.0,59.99249,60.0031,500.9545,499.89316,0.0,15.497208,8.562692,76.86275,0.0,0.0,14.407349,67.1,17.625,3.0,1.255027,0.0,0.78,0.0,0.0,15.3046875,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5053711,0.47454834,0.43792725,0.6916046,0.5090332,0.45043945,0.41015625,0.8203125,1.2890625,1.25,1.1523438,1.6601562,1.0166016,1.0,24.72992,3.125,29.39226,30.068264,0.0,0.0,0.0,0.0,0.0,98.59999,0.0,1.0,0.9978806,1.0,101.50763,101.72322,1.0,289.875,356.625,0.0875,-5.46875,0.0,15.78125,0.0,344.71875,1023.96875,6.5,2.3341267,73.399994,676.4675,20.306396,1.0,0.0,0.0,0.061035156,99.998474,99.998474,3.6914062,0.0,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0039,8160.0,3.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.375,161.25,35.25,769.0078,3.0,0.0,0.2,0.2,0.11,0.09,-600.0,-600.0,0.0,798.0,0.0,14.900009,0.3555352,0.039,0.0,0.0,0
