Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5645551,00000118,false,Rx,1,4,00,43,00,10,00,00,00,00,
5657516,00000118,false,Rx,1,4,00,44,00,10,00,00,00,00,
5666519,00000118,false,Rx,1,4,00,45,00,10,00,00,00,00,
16564,00000118,false,Rx,1,4,00,46,00,10,00,00,00,00,
26514,00000118,false,Rx,1,4,00,47,00,10,00,00,00,00,
36547,00000118,false,Rx,1,4,00,48,00,10,00,00,00,00,
46515,00000118,false,Rx,1,4,00,49,00,10,00,00,00,00,
59687,00000118,false,Rx,1,4,00,4A,00,10,00,00,00,00,
67521,00000118,false,Rx,1,4,00,4B,00,10,00,00,00,00,
78515,00000118,false,Rx,1,4,00,4C,00,10,00,00,00,00,
89814,00000118,false,Rx,1,4,00,4D,00,10,00,00,00,00,
99514,00000118,false,Rx,1,4,00,4E,00,10,00,00,00,00,
108553,00000118,false,Rx,1,4,00,4F,00,10,00,00,00,00,
120373,00000118,false,Rx,1,4,00,40,00,10,00,00,00,00,
129530,00000118,false,Rx,1,4,00,41,00,10,00,00,00,00,
141542,00000118,false,Rx,1,4,00,42,00,10,00,00,00,00,
150530,00000118,false,Rx,1,4,00,43,00,10,00,00,00,00,
161515,00000118,false,Rx,1,4,00,44,00,10,00,00,00,00,
170555,00000118,false,Rx,1,4,00,45,00,10,00,00,00,00,
182514,00000118,false,Rx,1,4,00,46,00,10,00,00,00,00,
191522,00000118,false,Rx,1,4,00,47,00,10,00,00,00,00,
202514,00000118,false,Rx,1,4,00,48,00,10,00,00,00,00,
213364,00000118,false,Rx,1,4,00,49,00,10,00,00,00,00,
223514,00000118,false,Rx,1,4,00,4A,00,10,00,00,00,00,
233521,00000118,false,Rx,1,4,00,4B,00,10,00,00,00,00,
243525,00000118,false,Rx,1,4,00,4C,00,10,00,00,00,00,
243546,17F0000F,true,Rx,1,8,00,0F,00,00,00,00,00,80,
253519,00000118,false,Rx,1,4,00,4D,00,10,00,00,00,00,
263565,00000118,false,Rx,1,4,00,4E,00,10,00,00,00,00,
273522,00000118,false,Rx,1,4,00,4F,00,10,00,00,00,00,
284518,00000118,false,Rx,1,4,00,40,00,10,00,00,00,00,
294522,00000118,false,Rx,1,4,00,41,00,10,00,00,00,00,
305524,00000118,false,Rx,1,4,00,42,00,10,00,00,00,00,
315517,00000118,false,Rx,1,4,00,43,00,10,00,00,00,00,
326526,00000118,false,Rx,1,4,00,44,00,10,00,00,00,00,
336514,00000118,false,Rx,1,4,00,45,00,10,00,00,00,00,
347519,00000118,false,Rx,1,4,00,46,00,10,00,00,00,00,
356515,00000118,false,Rx,1,4,00,47,00,10,00,00,00,00,
367564,00000118,false,Rx,1,4,00,48,00,10,00,00,00,00,
377515,00000118,false,Rx,1,4,00,49,00,10,00,00,00,00,
388525,00000118,false,Rx,1,4,00,4A,00,10,00,00,00,00,
398516,00000118,false,Rx,1,4,00,4B,00,10,00,00,00,00,
