Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4551584025,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,73,
4551593860,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,83,
4551604028,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,93,
4294992861,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,A3,
4295003028,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,B3,
4295012860,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,C3,
4295023027,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,D3,
4295032858,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,E3,
4295043027,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,F3,
4295052859,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,03,
4295063030,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,13,
4295072866,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,23,
4295083028,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,33,
4295092862,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,43,
4295103032,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,53,
4295112864,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,63,
4295123030,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,73,
4295132863,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,83,
4295143034,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,93,
4295152862,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,A3,
4295163034,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,B3,
4295172864,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,C3,
4295183036,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,D3,
4295192866,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,E3,
4295203034,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,F3,
4295212867,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,03,
4295223043,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,13,
4295232868,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,23,
4295243034,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,33,
4295252866,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,43,
4295263038,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,53,
4295272869,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,63,
4295283038,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,73,
4295292872,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,83,
4295303041,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,93,
4295312869,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,A3,
4295323039,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,B3,
4295332871,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,C3,
4295343040,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,D3,
4295352869,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,E3,
4295363040,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,F3,
4295372872,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,03,
4295383045,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,13,
4295392877,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,23,
4295403041,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,33,
4295412873,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,43,
4295423043,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,53,
4295432875,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,63,
4295443042,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,73,
4295452876,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,83,
4295463047,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,93,
4295472873,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,A3,
4295483050,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,B3,
4295492882,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,C3,
4295503047,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,D3,
4295512877,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,E3,
4295523046,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,F3,
4295532878,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,03,
4295543049,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,13,
4295552881,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,23,
4295563047,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,33,
4295572877,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,43,
4295583156,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,53,
4295592884,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,63,
4295603048,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,73,
4295612882,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,83,
4295623054,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,93,
4295632880,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,A3,
4295643051,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,B3,
4295652884,000002C0,false,Rx,1,8,18,80,00,00,54,C0,FE,C3,
