Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4388017036,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,03,
4388027202,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,13,
4294990033,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,23,
4295000202,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,33,
4295010045,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,43,
4295020205,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,53,
4295030035,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,63,
4295040207,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,73,
4295050039,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,83,
4295060207,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,93,
4295070037,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,A3,
4295080207,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,B3,
4295090037,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,C3,
4295100209,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,D3,
4295110054,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,E3,
4295120208,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,F3,
4295130045,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,03,
4295140208,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,13,
4295150042,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,23,
4295160227,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,33,
4295170044,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,43,
4295180230,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,53,
4295190042,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,63,
4295200233,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,73,
4295210062,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,83,
4295220233,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,93,
4295230042,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,A3,
4295240233,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,B3,
4295250045,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,C3,
4295260235,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,D3,
4295270048,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,E3,
4295280235,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,F3,
4295290050,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,03,
4295300234,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,13,
4295310091,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,23,
4295320238,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,33,
4295330052,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,43,
4295340235,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,53,
4295350047,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,63,
4295360247,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,73,
4295370055,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,83,
4295380240,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,93,
4295390050,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,A3,
4295400240,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,B3,
4295410050,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,C3,
4295420250,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,D3,
4295430055,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,E3,
4295440241,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,F3,
4295450062,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,03,
4295460241,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,13,
4295470057,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,23,
4295480242,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,33,
4295490056,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,43,
4295500244,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,53,
4295510055,000002C0,false,Rx,1,8,18,80,00,00,59,C0,FE,63,
