Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
480734189,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
480744902,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
480754184,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
480764965,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
480774187,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
480784967,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
480794192,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
480804906,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
480814189,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
480824933,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
480834190,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
480844967,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
480854195,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295105207,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295114488,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295125273,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295134493,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295145269,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295154493,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295165232,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295174492,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295185241,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295194493,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295205273,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295214496,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295225276,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295234505,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295245277,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295254500,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295265239,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295274500,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295285281,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295294502,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295305282,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295314504,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295325242,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295334506,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295345241,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295354521,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295365243,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295374517,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295385245,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295394509,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295405245,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295414511,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295425291,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295434519,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295445246,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295454516,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295465291,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295474517,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295485246,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295494518,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295505296,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295514519,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295525246,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295534527,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295545246,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295554522,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295565246,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295574530,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295585304,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295594524,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295605248,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295614526,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295625306,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295634526,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295645309,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295654527,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295665248,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295674530,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295685319,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295694533,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295705309,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295714535,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295725312,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
4295734533,000002C0,false,Rx,1,4,08,88,00,00,00,00,00,00,
